r	c	alpha	beta	M	Q_B4m	Pi_B4m	Time_B4m
2	1.5	40	1	4	34	60.525566	902447
2	1.4	40	1	4	35	74.585749	1048801
2	1.3	40	1	4	36	89.08232	1178377
2	1.2	40	1	4	37	103.99077	1310121
2	1.1	40	1	4	38	119.29368	1423404
2	1	40	1	4	40	135.01308	1661181
2	0.9	40	1	4	41	151.10924	1732062
2	0.8	40	1	4	42	167.60063	1951282
2	0.7	40	1	4	43	184.50279	2400306
2	0.6	40	1	4	44	201.82693	2489087
2	0.5	40	1	4	46	219.64025	2994698
2	0.4	40	1	4	47	237.9492	3343841
2	0.3	40	1	4	49	256.86176	3825561
2	0.2	40	1	4	52	276.50245	4774388
2	1.8	20	0.5	4	27	20.494484	529306
2	1.7	20	0.5	4	29	32.592238	686601
2	1.6	20	0.5	4	31	45.381135	876530
2	1.5	20	0.5	4	32	58.72581	1112722
2	1.4	20	0.5	4	34	72.636683	1354804
2	1.3	20	0.5	4	35	86.983185	1544539
2	1.2	20	0.5	4	36	101.76618	1708165
2	1.1	20	0.5	4	38	117.0439	1982755
2	1	20	0.5	4	39	132.69266	2188512
2	0.9	20	0.5	4	41	148.81363	2575770
2	0.8	20	0.5	4	42	165.33481	2865405
2	0.7	20	0.5	4	43	182.28949	3229965
2	0.6	20	0.5	4	45	199.75412	3797501
2	0.5	20	0.5	4	47	217.71709	4450131
2	0.4	20	0.5	4	49	236.23597	5232839
2	0.3	20	0.5	4	51	255.40109	6182927
2	0.2	20	0.5	4	54	275.3705	7475591
2	1.8	10	0.25	4	23	19.227061	537285
2	1.7	10	0.25	4	26	30.909604	844237
2	1.6	10	0.25	4	28	43.352912	1136862
2	1.5	10	0.25	4	30	56.429093	1446931
2	1.4	10	0.25	4	32	70.088315	1797099
2	1.3	10	0.25	4	33	84.210783	1990819
2	1.2	10	0.25	4	35	98.88709	2276880
2	1.1	10	0.25	4	37	114.04429	2821979
2	1	10	0.25	4	39	129.66531	3380595
2	0.9	10	0.25	4	40	145.71568	3628358
2	0.8	10	0.25	4	42	162.28929	4367831
2	0.7	10	0.25	4	44	179.35231	5087511
2	0.6	10	0.25	4	46	196.92946	5979370
2	0.5	10	0.25	4	49	215.09969	7260511
2	0.4	10	0.25	4	51	233.86847	8227403
2	0.3	10	0.25	4	55	253.38935	10387819
2	0.2	10	0.25	4	59	273.80397	11916701
2	1.8	5	0.125	4	18	17.626839	463503
2	1.7	5	0.125	4	21	28.727465	1596454
2	1.6	5	0.125	4	24	40.725738	1321681
2	1.5	5	0.125	4	26	53.363437	1692029
2	1.4	5	0.125	4	28	66.658227	2143988
2	1.3	5	0.125	4	31	80.626884	2762673
2	1.2	5	0.125	4	33	95.066553	2955122
2	1.1	5	0.125	4	35	110.03965	4177592
2	1	5	0.125	4	37	125.53754	5249796
2	0.9	5	0.125	4	40	141.60959	6249099
2	0.8	5	0.125	4	42	158.16463	7446479
2	0.7	5	0.125	4	45	175.32363	9161553
2	0.6	5	0.125	4	48	193.0592	10911079
2	0.5	5	0.125	4	51	211.4381	13133639
2	0.4	5	0.125	4	55	230.54959	15130300
2	0.3	5	0.125	4	59	250.50546	17982815
2	0.2	5	0.125	4	65	271.52047	23260554
2	1.8	2.5	0.0625	4	12	15.55808	310407
2	1.7	2.5	0.0625	4	15	26.026121	713320
2	1.6	2.5	0.0625	4	18	37.450441	1297132
2	1.5	2.5	0.0625	4	21	49.634582	2128995
2	1.4	2.5	0.0625	4	24	62.508416	2966327
2	1.3	2.5	0.0625	4	26	75.919265	3801119
2	1.2	2.5	0.0625	4	29	90.047699	5467055
2	1.1	2.5	0.0625	4	32	104.77385	6947441
2	1	2.5	0.0625	4	35	120.09509	7675871
2	0.9	2.5	0.0625	4	38	136.00387	9620893
2	0.8	2.5	0.0625	4	41	152.52445	11500633
2	0.7	2.5	0.0625	4	45	169.74186	14851329
2	0.6	2.5	0.0625	4	49	187.62524	18111764
2	0.5	2.5	0.0625	4	53	206.24918	22776942
2	0.4	2.5	0.0625	4	59	225.77933	27806361
2	0.3	2.5	0.0625	4	66	246.313	34235547
2	0.2	2.5	0.0625	4	75	268.13456	45336419
2	1.8	100	2	4	39	28.951524	1368471
2	1.7	100	2	4	41	45.221842	1595030
2	1.6	100	2	4	43	62.156059	1851135
2	1.5	100	2	4	44	79.642298	2067525
2	1.4	100	2	4	45	97.629174	2277111
2	1.3	100	2	4	46	116.07052	2448554
2	1.2	100	2	4	47	134.94307	2618048
2	1.1	100	2	4	49	154.25218	2932556
2	1	100	2	4	50	173.9615	3116394
2	0.9	100	2	4	51	194.08087	3359047
2	0.8	100	2	4	52	214.61002	3636851
2	0.7	100	2	4	53	235.56981	3963138
2	0.6	100	2	4	54	256.97249	4323365
2	0.5	100	2	4	56	278.86808	4777443
2	0.4	100	2	4	57	301.29349	5679694
2	0.3	100	2	4	59	324.33267	5940573
2	0.2	100	2	4	61	348.11888	6801027
2	1.8	50	1	4	38	28.124331	1209478
2	1.7	50	1	4	40	44.107093	1480766
2	1.6	50	1	4	41	60.794836	1702455
2	1.5	50	1	4	43	78.120408	1979503
2	1.4	50	1	4	44	95.944561	2225687
2	1.3	50	1	4	46	114.28983	2460865
2	1.2	50	1	4	47	133.0925	2737178
2	1.1	50	1	4	48	152.32677	3013854
2	1	50	1	4	49	171.99636	3249393
2	0.9	50	1	4	51	192.14574	3648961
2	0.8	50	1	4	52	212.71163	3996653
2	0.7	50	1	4	53	233.72604	4416153
2	0.6	50	1	4	55	255.25321	5022167
2	0.5	50	1	4	56	277.26825	5614790
2	0.4	50	1	4	58	299.87579	6365153
2	0.3	50	1	4	60	323.13526	7123799
2	0.2	50	1	4	63	347.20707	8456925
2	1.8	25	0.5	4	35	27.015699	1174111
2	1.7	25	0.5	4	37	42.60918	1512935
2	1.6	25	0.5	4	40	59.042409	1914522
2	1.5	25	0.5	4	41	76.071437	2147872
2	1.4	25	0.5	4	43	93.722611	2496531
2	1.3	25	0.5	4	45	111.91837	2908050
2	1.2	25	0.5	4	46	130.58782	3297101
2	1.1	25	0.5	4	48	149.76916	3725997
2	1	25	0.5	4	49	169.40887	4112426
2	0.9	25	0.5	4	51	189.5559	4716959
2	0.8	25	0.5	4	52	210.15279	5172500
2	0.7	25	0.5	4	54	231.27562	5894745
2	0.6	25	0.5	4	56	252.92404	6757456
2	0.5	25	0.5	4	58	275.13208	7707889
2	0.4	25	0.5	4	60	297.96454	8854098
2	0.3	25	0.5	4	63	321.52119	10447676
2	0.2	25	0.5	4	66	345.96007	12400028
2	1.8	12.5	0.25	4	31	25.57793	1183954
2	1.7	12.5	0.25	4	34	40.716511	1672446
2	1.6	12.5	0.25	4	36	56.681982	2098077
2	1.5	12.5	0.25	4	39	73.457078	2481412
2	1.4	12.5	0.25	4	41	90.809287	3295068
2	1.3	12.5	0.25	4	43	108.77932	3844826
2	1.2	12.5	0.25	4	45	127.29882	4474337
2	1.1	12.5	0.25	4	47	146.37056	5579647
2	1	12.5	0.25	4	49	165.95978	6371368
2	0.9	12.5	0.25	4	50	186.03951	6816651
2	0.8	12.5	0.25	4	53	206.74685	8149976
2	0.7	12.5	0.25	4	55	227.96201	9251758
2	0.6	12.5	0.25	4	57	249.75717	10508129
2	0.5	12.5	0.25	4	60	272.201	12208800
2	0.4	12.5	0.25	4	63	295.33701	13781518
2	0.3	12.5	0.25	4	66	319.2745	16070934
2	0.2	12.5	0.25	4	71	344.22251	20853083
2	1.8	6.25	0.125	4	25	23.698559	1235305
2	1.7	6.25	0.125	4	29	38.213238	2058917
2	1.6	6.25	0.125	4	32	53.678644	2821260
2	1.5	6.25	0.125	4	35	69.982577	3705238
2	1.4	6.25	0.125	4	37	86.940131	4603914
2	1.3	6.25	0.125	4	40	104.64202	5276258
2	1.2	6.25	0.125	4	42	122.89935	6344458
2	1.1	6.25	0.125	4	45	141.82421	7844916
2	1	6.25	0.125	4	47	161.27294	9187580
2	0.9	6.25	0.125	4	50	181.37786	10916272
2	0.8	6.25	0.125	4	53	202.07863	12845176
2	0.7	6.25	0.125	4	56	223.39846	15150966
2	0.6	6.25	0.125	4	59	245.38359	17689659
2	0.5	6.25	0.125	4	62	268.08043	20300101
2	0.4	6.25	0.125	4	67	291.62317	23517541
2	0.3	6.25	0.125	4	72	316.08242	27495361
2	0.2	6.25	0.125	4	78	341.70295	35031525
2	1.8	3.125	0.0625	4	18	21.424958	903365
2	1.7	3.125	0.0625	4	22	35.138491	1934443
2	1.6	3.125	0.0625	4	25	49.82452	2933830
2	1.5	3.125	0.0625	4	29	65.539976	4349683
2	1.4	3.125	0.0625	4	32	81.965038	5720084
2	1.3	3.125	0.0625	4	35	99.15832	7310906
2	1.2	3.125	0.0625	4	38	117.05461	7703327
2	1.1	3.125	0.0625	4	41	135.65113	9897149
2	1	3.125	0.0625	4	45	154.99576	12842192
2	0.9	3.125	0.0625	4	48	174.93536	15340141
2	0.8	3.125	0.0625	4	52	195.63748	19618760
2	0.7	3.125	0.0625	4	56	217.04725	25032981
2	0.6	3.125	0.0625	4	60	239.21519	29699556
2	0.5	3.125	0.0625	4	66	262.28743	35952602
2	0.4	3.125	0.0625	4	72	286.28542	43154832
2	0.3	3.125	0.0625	4	79	311.40824	52289326
2	0.2	3.125	0.0625	4	89	337.96498	65236826
