r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	1.3	1.25	0.0625	43	15	27.37669092	3239736	35430590	345618
2	1.2	1.25	0.0625	45	17	34.1718128	3403901	37222470	354336
2	1.1	1.25	0.0625	47	19	41.4483502	3201791	35003960	351999
2	1	1.25	0.0625	49	21	49.1810613	3308491	36185780	346532
2	0.9	1.25	0.0625	51	23	57.36851536	3120605	34047550	340762
2	0.8	1.25	0.0625	52	25	65.99885278	3049808	33354580	325153
2	0.7	1.25	0.0625	54	27	75.10906472	2727162	29816170	306909
2	0.6	1.25	0.0625	56	29	84.69102881	2697877	29503980	293903
2	0.5	1.25	0.0625	58	32	94.80509404	2298956	25145530	265193
2	0.4	1.25	0.0625	61	36	105.5160718	2031024	22209290	241196
2	0.3	1.25	0.0625	64	41	116.9281529	1768118	19337510	212559
2	0.2	1.25	0.0625	68	47	129.2474986	1455405	15897540	182894
2	1.8	60	2	24	22	15.40178472	25780	203500	6832
2	1.7	60	2	25	23	24.49336783	25934	205220	6707
2	1.6	60	2	26	25	34.11087038	25654	204270	6929
2	1.5	60	2	27	26	44.16319456	26193	207850	7070
2	1.4	60	2	28	27	54.59990015	26329	208730	7080
2	1.3	60	2	29	27	65.3965838	26954	213680	7081
2	1.2	60	2	29	28	76.53426381	23333	184610	6474
2	1.1	60	2	30	29	87.99492279	23770	188540	6493
2	1	60	2	31	30	99.7627601	24046	189520	6512
2	0.9	60	2	32	31	111.8425954	24010	189520	6589
2	0.8	60	2	32	32	124.2416846	24854	196550	6606
2	0.7	60	2	33	32	136.9735012	24850	196710	6623
2	0.6	60	2	34	33	150.0628726	25491	201740	6811
2	0.5	60	2	35	34	163.5193246	26053	205390	6810
2	0.4	60	2	37	36	177.3972077	25481	201110	6797
2	0.3	60	2	38	37	191.7548046	25886	204920	6907
2	0.2	60	2	40	39	206.6970418	26174	204990	6922
2	1.8	30	1	25	21	14.55626119	67688	537900	14156
2	1.7	30	1	26	23	23.40265803	65338	517430	13446
2	1.6	30	1	28	24	32.84109444	67842	539380	14123
2	1.5	30	1	29	25	42.75551254	63718	505230	13275
2	1.4	30	1	29	26	53.09174055	58209	462830	12420
2	1.3	30	1	30	27	63.82052023	57320	456200	12427
2	1.2	30	1	31	28	74.90515816	56479	448800	12322
2	1.1	30	1	32	29	86.34544182	55229	438900	12142
2	1	30	1	32	30	98.1227726	49665	393070	11149
2	0.9	30	1	33	31	110.232114	54786	432340	11923
2	0.8	30	1	34	32	122.6815037	53775	424270	11764
2	0.7	30	1	35	33	135.4925104	49426	389760	10929
2	0.6	30	1	35	34	148.6665426	46098	362750	10436
2	0.5	30	1	36	35	162.2433192	45305	355640	10419
2	0.4	30	1	38	37	176.2600886	51102	400650	11249
2	0.3	30	1	39	38	190.7973413	45850	359610	10656
2	0.2	30	1	41	40	205.962038	48074	376320	10883
2	1.8	15	0.5	26	20	13.31481572	178420	1412400	27827
2	1.7	15	0.5	28	22	21.80999788	186672	1478970	29320
2	1.6	15	0.5	30	23	30.97574971	188069	1489240	29308
2	1.5	15	0.5	31	25	40.70334814	187823	1481680	28981
2	1.4	15	0.5	32	26	50.92246439	187945	1483750	29082
2	1.3	15	0.5	33	27	61.55525945	172799	1367230	27059
2	1.2	15	0.5	33	28	72.59573724	158574	1252030	25356
2	1.1	15	0.5	34	29	84.01057654	150486	1190170	24842
2	1	15	0.5	35	30	95.8013858	148567	1170560	24363
2	0.9	15	0.5	36	32	107.958258	143971	1136670	23824
2	0.8	15	0.5	37	33	120.4939856	132565	1046720	22311
2	0.7	15	0.5	37	34	133.4074328	119882	944940	20526
2	0.6	15	0.5	38	35	146.7234092	121682	957320	20430
2	0.5	15	0.5	39	37	160.4655602	104168	824280	19156
2	0.4	15	0.5	41	38	174.696086	102882	811730	19006
2	0.3	15	0.5	42	40	189.4799055	95887	753310	18185
2	0.2	15	0.5	44	43	204.9536444	88482	694000	17432
2	1.8	7.5	0.25	29	18	11.58404332	541657	4280880	64852
2	1.7	7.5	0.25	31	20	19.57192815	549564	4352450	66348
2	1.6	7.5	0.25	33	22	28.37633916	561616	4440800	67277
2	1.5	7.5	0.25	35	24	37.83250387	575465	4556970	69450
2	1.4	7.5	0.25	36	26	47.84048258	552691	4372230	66520
2	1.3	7.5	0.25	37	27	58.36642101	536461	4247100	64934
2	1.2	7.5	0.25	38	28	69.33294438	494913	3924130	61007
2	1.1	7.5	0.25	39	30	80.7331505	482509	3819150	59496
2	1	7.5	0.25	40	31	92.55816762	447355	3531650	55631
2	0.9	7.5	0.25	41	32	104.7831856	429054	3401630	54170
2	0.8	7.5	0.25	42	34	117.4218566	398635	3141510	50456
2	0.7	7.5	0.25	43	35	130.4860265	376046	2976120	49115
2	0.6	7.5	0.25	44	37	143.9922961	338476	2674370	45244
2	0.5	7.5	0.25	45	39	157.974408	306567	2419140	42176
2	0.4	7.5	0.25	47	41	172.4908602	277359	2190970	39414
2	0.3	7.5	0.25	48	44	187.6196007	240497	1898260	35451
2	0.2	7.5	0.25	51	47	203.5239329	232337	1826220	34441
