r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	1.3	15	0.5	26	61.44890604	805	9640	688
2	1.2	15	0.5	27	72.50360777	881	10570	720
2	1.1	15	0.5	28	83.89297516	1051	12340	784
2	1	15	0.5	29	95.70573824	1100	13140	821
2	0.9	15	0.5	30	107.8620423	978	11530	870
2	0.8	15	0.5	32	120.4758364	1093	13010	956
2	0.7	15	0.5	33	133.365401	1312	15450	1046
2	0.6	15	0.5	34	146.6695802	1412	16510	1139
2	0.5	15	0.5	36	160.4587086	1640	19400	1247
2	0.4	15	0.5	38	174.6954645	1949	22650	1420
2	0.3	15	0.5	40	189.4798352	2316	26960	1590
2	0.2	15	0.5	43	204.9536372	2900	33140	1853
2	1.8	7.5	0.25	16	11.4398814	228	2740	300
2	1.7	7.5	0.25	18	19.34620402	326	3920	379
2	1.6	7.5	0.25	20	28.08162255	412	4940	446
2	1.5	7.5	0.25	21	37.37328776	492	5900	504
2	1.4	7.5	0.25	23	47.53156086	613	7350	580
2	1.3	7.5	0.25	24	57.98607789	694	8330	620
2	1.2	7.5	0.25	26	69.07505886	840	10080	718
2	1.1	7.5	0.25	27	80.42537504	957	11480	784
2	1	7.5	0.25	29	92.34769851	1129	13390	862
2	0.9	7.5	0.25	30	104.5431581	1007	11930	917
2	0.8	7.5	0.25	32	117.2983259	1124	13360	1018
2	0.7	7.5	0.25	33	130.3070877	1311	15580	1113
2	0.6	7.5	0.25	35	143.8800794	1583	18270	1270
2	0.5	7.5	0.25	37	157.8905137	1865	21930	1436
2	0.4	7.5	0.25	40	172.4666209	2326	27120	1671
2	0.3	7.5	0.25	43	187.6168191	2913	32620	1954
2	0.2	7.5	0.25	46	203.5103407	3687	41980	2295
2	1.8	3.75	0.125	12	8.940971452	122	1470	201
2	1.7	3.75	0.125	14	15.89896043	181	2170	258
2	1.6	3.75	0.125	16	23.98314987	278	3330	335
2	1.5	3.75	0.125	18	32.98272716	365	4380	401
2	1.4	3.75	0.125	20	42.69335666	480	5760	490
2	1.3	3.75	0.125	22	53.1017656	617	7410	565
2	1.2	3.75	0.125	23	63.72169184	709	8520	625
2	1.1	3.75	0.125	25	75.22591958	871	10450	699
2	1	3.75	0.125	27	87.19464887	1097	13160	816
2	0.9	3.75	0.125	29	99.6071261	1034	12410	907
2	0.8	3.75	0.125	31	112.5313232	1201	14200	1011
2	0.7	3.75	0.125	34	126.0213994	1549	18310	1208
2	0.6	3.75	0.125	36	139.8023784	1892	22180	1385
2	0.5	3.75	0.125	39	154.2172453	2316	26920	1621
2	0.4	3.75	0.125	42	169.159492	3008	34250	1935
2	0.3	3.75	0.125	47	184.8823236	4045	45970	2402
2	0.2	3.75	0.125	52	201.3964226	5410	60240	2952
2	1.8	1.875	0.0625	7	5.783397772	57	690	101
2	1.7	1.875	0.0625	9	11.50317347	93	1130	155
2	1.6	1.875	0.0625	11	18.37318416	145	1740	208
