r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	1.5	30	1	4	25	25	43.31663772	372	50	479587
2	1.4	30	1	4	26	26	53.63616367	295	50	570999
2	1.3	30	1	4	27	27	64.32654703	319	60	658757
2	1.2	30	1	4	28	28	75.36825896	323	60	773069
2	1.1	30	1	4	29	29	86.74865093	427	60	879937
2	1	30	1	4	30	30	98.46744404	334	70	1001845
2	0.9	30	1	4	30	30	110.5070826	354	80	1081808
2	0.8	30	1	4	31	31	122.9099753	2059	80	1214543
2	0.7	30	1	4	33	33	135.6796024	348	90	1488904
2	0.6	30	1	4	34	34	148.8126562	332	90	1694663
2	0.5	30	1	4	35	35	162.3493945	495	90	1969387
2	0.4	30	1	4	36	36	176.328457	546	110	2244465
2	0.3	30	1	4	38	38	190.8384429	416	110	2680738
2	0.2	30	1	4	40	40	205.9811684	670	120	3274866
2	1.8	15	0.5	4	19	19	14.2390839	297	350	236391
2	1.7	15	0.5	4	20	20	22.87957688	234	30	316762
2	1.6	15	0.5	4	22	22	32.14199731	291	40	448326
2	1.5	15	0.5	4	23	23	41.85878542	294	40	547106
2	1.4	15	0.5	4	24	24	52.00848389	368	50	661675
2	1.3	15	0.5	4	26	26	62.61445212	334	50	853534
2	1.2	15	0.5	4	27	27	73.56032297	299	60	1012074
2	1.1	15	0.5	4	28	28	84.87453761	323	70	1187153
2	1	15	0.5	4	29	29	96.55225116	442	310	1383757
2	0.9	15	0.5	4	30	30	108.5921961	471	70	1595593
2	0.8	15	0.5	4	32	32	121.0319832	483	80	1973285
2	0.7	15	0.5	4	33	33	133.8370546	328	90	2248633
2	0.6	15	0.5	4	34	34	147.0427102	313	100	2595137
2	0.5	15	0.5	4	36	36	160.7093684	2629	710	3147817
2	0.4	15	0.5	4	38	38	174.8570547	597	110	3811147
2	0.3	15	0.5	4	40	40	189.5761833	444	120	4604748
2	0.2	15	0.5	4	43	43	204.997314	398	140	5952639
2	1.8	7.5	0.25	4	16	16	13.25422448	249	600	174788
2	1.7	7.5	0.25	4	18	18	21.57246397	209	30	285928
2	1.6	7.5	0.25	4	20	20	30.53274716	320	670	430242
2	1.5	7.5	0.25	4	21	21	39.99532241	288	690	549309
2	1.4	7.5	0.25	4	23	23	49.98453563	244	50	766698
2	1.3	7.5	0.25	4	24	24	60.36463368	438	350	938625
2	1.2	7.5	0.25	4	26	26	71.20922204	455	60	1240576
2	1.1	7.5	0.25	4	27	27	82.41689598	419	60	1465094
2	1	7.5	0.25	4	29	29	94.05577493	302	130	1885224
2	0.9	7.5	0.25	4	30	30	106.0657892	1557	810	2182977
2	0.8	7.5	0.25	4	32	32	118.5094217	392	240	2736568
2	0.7	7.5	0.25	4	33	33	131.3503466	304	90	3145662
2	0.6	7.5	0.25	4	35	35	144.6736085	413	90	3857063
2	0.5	7.5	0.25	4	37	37	158.4778208	405	100	4707912
