r	c	alpha	beta	M	Q_A2	Pi_A2	Time_A2
2	0.3	3.75	0.125	2	47	185.30015	962
2	0.2	3.75	0.125	2	52	201.61358	264
2	1.8	1.875	0.0625	2	11	9.4618689	365543
2	1.7	1.875	0.0625	2	14	16.745244	1215123
2	1.6	1.875	0.0625	2	16	24.851479	2461108
2	1.5	1.875	0.0625	2	18	33.631606	4830781
2	1.4	1.875	0.0625	2	20	43.004899	7831720
2	1.3	1.875	0.0625	2	22	52.924697	12629372
2	1.2	1.875	0.0625	2	24	63.360147	20917407
2	1.1	1.875	0.0625	2	26	74.297407	32541062
2	1	1.875	0.0625	2	28	85.73026	43450148
2	0.9	1.875	0.0625	2	30	97.660209	64811073
2	0.8	1.875	0.0625	2	33	110.11825	105536124
2	0.7	1.875	0.0625	2	36	123.10537	59186188
2	0.6	1.875	0.0625	2	39	136.68225	215155241
2	0.5	1.875	0.0625	2	43	150.90171	92672952
2	0.4	1.875	0.0625	2	47	165.85998	279
2	0.3	1.875	0.0625	2	53	181.69896	390
2	0.2	1.875	0.0625	2	61	198.67161	454
2	1.8	80	2	2	30	22.16995	2534802
2	1.7	80	2	2	32	34.834854	3460902
2	1.6	80	2	2	34	48.082411	5500753
2	1.5	80	2	2	35	61.842412	5522365
2	1.4	80	2	2	36	76.041328	6317708
2	1.3	80	2	2	37	90.64671	7418027
2	1.2	80	2	2	38	105.63692	9134790
2	1.1	80	2	2	39	120.99859	9969551
2	1	80	2	2	40	136.72592	11898366
2	0.9	80	2	2	41	152.81957	13816298
2	0.8	80	2	2	42	169.28349	15362607
2	0.7	80	2	2	43	186.13127	17879791
2	0.6	80	2	2	44	203.38248	21383567
2	0.5	80	2	2	45	221.06515	24082597
2	0.4	80	2	2	46	239.21998	27273141
2	0.3	80	2	2	48	257.94081	35511873
2	0.2	80	2	2	50	277.3295	45907162
2	1.8	40	1	2	29	21.449959	4452858
2	1.7	40	1	2	31	33.861459	7131092
2	1.6	40	1	2	33	46.906128	14958981
2	1.5	40	1	2	34	60.49663	16670768
2	1.4	40	1	2	35	74.556596	19332873
2	1.3	40	1	2	36	89.051018	23711780
2	1.2	40	1	2	38	103.96685	36170259
2	1.1	40	1	2	39	119.28583	43335740
2	1	40	1	2	40	134.99567	42360871
2	0.9	40	1	2	41	151.09695	50092553
2	0.8	40	1	2	42	167.59344	59374157
2	0.7	40	1	2	43	184.49836	67990007
2	0.6	40	1	2	45	201.83033	108577374
2	0.5	40	1	2	46	219.64151	108714793
2	0.4	40	1	2	48	237.95164	165280078
2	0.3	40	1	2	49	256.8646	168657116
2	0.2	40	1	2	52	276.50458	228300301
2	1.8	20	0.5	2	27	20.503714	6966434
2	1.7	20	0.5	2	29	32.588971	24873284
2	1.6	20	0.5	2	31	45.371762	27129310
2	1.5	20	0.5	2	33	58.732158	24874855
2	1.4	20	0.5	2	34	72.614049	26007740
2	1.3	20	0.5	2	36	86.968844	39966263
2	1.2	20	0.5	2	37	101.78254	52845963
2	1.1	20	0.5	2	38	117.02306	52961449
2	1	20	0.5	2	40	132.69607	83323247
2	0.9	20	0.5	2	41	148.7999	86732435
2	0.8	20	0.5	2	42	165.3254	109739976
2	0.7	20	0.5	2	44	182.31211	172375090
2	0.6	20	0.5	2	45	199.7567	163401637
2	0.5	20	0.5	2	47	217.72038	221111426
2	0.4	20	0.5	2	49	236.24101	285698572
2	0.3	20	0.5	2	52	255.40765	338
2	0.2	20	0.5	2	55	275.37795	349
2	1.8	10	0.25	2	24	19.253343	6383138
2	1.7	10	0.25	2	27	30.94717	12204556
2	1.6	10	0.25	2	29	43.392181	18780848
2	1.5	10	0.25	2	31	56.472892	26294833
2	1.4	10	0.25	2	33	70.113162	37628751
2	1.3	10	0.25	2	34	84.28199	49553106
2	1.2	10	0.25	2	36	98.944963	64821179
2	1.1	10	0.25	2	38	114.07852	83829646
2	1	10	0.25	2	39	129.68991	92434285
2	0.9	10	0.25	2	41	145.77248	155543537
2	0.8	10	0.25	2	43	162.33211	197115935
2	0.7	10	0.25	2	45	179.38807	275048128
2	0.6	10	0.25	2	47	196.97005	335
2	0.5	10	0.25	2	49	215.11812	351
2	0.4	10	0.25	2	52	233.89433	274
2	0.3	10	0.25	2	55	253.40201	330
2	0.2	10	0.25	2	59	273.81203	281
