r	c	alpha	beta	M	Q_B2m	Pi_B2m	Time_B2m
2	0.8	2.5	0.25	2	10	33.151072	17350
2	0.7	2.5	0.25	2	11	37.595087	23961
2	0.6	2.5	0.25	2	12	42.293919	31691
2	0.5	2.5	0.25	2	14	47.325458	49771
2	0.4	2.5	0.25	2	15	52.620738	66617
2	0.3	2.5	0.25	2	17	58.335216	99971
2	0.2	2.5	0.25	2	19	64.519452	148701
2	1.8	1.25	0.125	2	1	0.97201692	227
2	1.7	1.25	0.125	2	2	2.6940516	414
2	1.6	1.25	0.125	2	2	4.4425996	618
2	1.5	1.25	0.125	2	3	7.0014492	1167
2	1.4	1.25	0.125	2	4	9.7906119	2165
2	1.3	1.25	0.125	2	5	12.875137	3990
2	1.2	1.25	0.125	2	5	15.819041	4590
2	1.1	1.25	0.125	2	6	19.342918	8335
2	1	1.25	0.125	2	7	23.064762	11429
2	0.9	1.25	0.125	2	8	27.027268	16918
2	0.8	1.25	0.125	2	10	31.372134	29446
2	0.7	1.25	0.125	2	11	35.782378	39705
2	0.6	1.25	0.125	2	12	40.485393	54578
2	0.5	1.25	0.125	2	14	45.576116	82028
2	0.4	1.25	0.125	2	16	51.002215	122911
2	0.3	1.25	0.125	2	19	56.872906	193166
2	0.2	1.25	0.125	2	23	63.307067	334565
2	1.8	0.625	0.0625	2	0	0	0
2	1.7	0.625	0.0625	2	0	0	0
2	1.6	0.625	0.0625	2	1	2.8278133	334
2	1.5	0.625	0.0625	2	1	4.5689886	514
2	1.4	0.625	0.0625	2	2	7.5709498	1288
2	1.3	0.625	0.0625	2	3	10.670496	2849
2	1.2	0.625	0.0625	2	3	13.298643	3617
2	1.1	0.625	0.0625	2	4	16.81124	6691
2	1	0.625	0.0625	2	5	20.538598	12853
2	0.9	0.625	0.0625	2	6	24.386556	19442
2	0.8	0.625	0.0625	2	8	28.795403	36108
2	0.7	0.625	0.0625	2	9	33.123653	52778
2	0.6	0.625	0.0625	2	11	38.011141	89157
2	0.5	0.625	0.0625	2	14	43.211945	148591
2	0.4	0.625	0.0625	2	17	48.742806	228672
2	0.3	0.625	0.0625	2	21	54.758237	365547
2	0.2	0.625	0.0625	2	26	61.435574	600734
2	1.8	40	2	2	13	9.1783936	14021
2	1.7	40	2	2	14	14.795268	18305
2	1.6	40	2	2	15	20.854925	20483
2	1.5	40	2	2	16	27.25068	24036
2	1.4	40	2	2	17	33.959751	27020
2	1.3	40	2	2	18	40.943704	30530
2	1.2	40	2	2	18	48.197447	29692
2	1.1	40	2	2	19	55.738243	36445
2	1	40	2	2	20	63.521527	42053
2	0.9	40	2	2	20	71.549625	40655
2	0.8	40	2	2	21	79.868146	50249
2	0.7	40	2	2	22	88.447226	56439
2	0.6	40	2	2	23	97.307456	67009
2	0.5	40	2	2	23	106.4671	70375
2	0.4	40	2	2	24	115.99013	89539
2	0.3	40	2	2	26	125.91829	116271
2	0.2	40	2	2	27	136.32479	142015
2	1.8	20	1	2	12	8.6579757	10659
2	1.7	20	1	2	14	14.114095	14384
2	1.6	20	1	2	15	20.000423	18418
2	1.5	20	1	2	16	26.261388	22935
2	1.4	20	1	2	16	32.832975	20709
2	1.3	20	1	2	17	39.738101	28793
2	1.2	20	1	2	18	46.97703	33248
2	1.1	20	1	2	19	54.467489	40108
2	1	20	1	2	20	62.236237	45513
2	0.9	20	1	2	20	70.260459	45420
2	0.8	20	1	2	21	78.603279	56451
2	0.7	20	1	2	22	87.231883	66515
2	0.6	20	1	2	23	96.165684	80552
2	0.5	20	1	2	24	105.43084	97357
2	0.4	20	1	2	25	115.05995	121676
2	0.3	20	1	2	27	125.12223	154954
2	0.2	20	1	2	28	135.70615	193304
2	1.8	10	0.5	2	11	7.9787502	7775
2	1.7	10	0.5	2	12	13.174844	10644
2	1.6	10	0.5	2	13	18.853397	14235
2	1.5	10	0.5	2	14	24.931253	17871
2	1.4	10	0.5	2	15	31.402227	23462
2	1.3	10	0.5	2	16	38.191522	28235
2	1.2	10	0.5	2	17	45.322102	35046
2	1.1	10	0.5	2	18	52.752547	42069
2	1	10	0.5	2	19	60.496908	50578
2	0.9	10	0.5	2	20	68.545164	60526
2	0.8	10	0.5	2	21	76.904974	71900
2	0.7	10	0.5	2	22	85.577049	88560
2	0.6	10	0.5	2	23	94.586546	103752
2	0.5	10	0.5	2	25	103.99748	140923
2	0.4	10	0.5	2	26	113.77168	170271
2	0.3	10	0.5	2	28	124.03376	225036
2	0.2	10	0.5	2	30	134.86244	304418
2	1.8	5	0.25	2	9	7.0604644	5167
2	1.7	5	0.25	2	10	11.94168	7717
2	1.6	5	0.25	2	11	17.362445	11277
2	1.5	5	0.25	2	13	23.333558	17250
2	1.4	5	0.25	2	14	29.613555	23120
2	1.3	5	0.25	2	15	36.25783	30405
2	1.2	5	0.25	2	16	43.232146	37103
2	1.1	5	0.25	2	17	50.583135	48561
2	1	5	0.25	2	19	58.33104	68805
2	0.9	5	0.25	2	20	66.326505	79800
2	0.8	5	0.25	2	21	74.683754	97849
2	0.7	5	0.25	2	22	83.382397	119863
2	0.6	5	0.25	2	24	92.52863	159514
2	0.5	5	0.25	2	26	102.05475	211031
2	0.4	5	0.25	2	28	112.03113	276795
2	0.3	5	0.25	2	30	122.52115	364970
2	0.2	5	0.25	2	33	133.67734	517410
2	1.8	2.5	0.125	2	6	5.6808591	2596
2	1.7	2.5	0.125	2	7	10.12543	4562
2	1.6	2.5	0.125	2	9	15.422683	8882
2	1.5	2.5	0.125	2	10	21.007283	13244
2	1.4	2.5	0.125	2	12	27.225335	22035
2	1.3	2.5	0.125	2	13	33.663537	31027
2	1.2	2.5	0.125	2	14	40.462065	40660
2	1.1	2.5	0.125	2	16	47.80126	58468
2	1	2.5	0.125	2	17	55.364226	75514
2	0.9	2.5	0.125	2	19	63.426617	109246
2	0.8	2.5	0.125	2	21	71.823345	145122
2	0.7	2.5	0.125	2	22	80.516874	177561
2	0.6	2.5	0.125	2	25	89.784076	262033
2	0.5	2.5	0.125	2	27	99.428306	346141
2	0.4	2.5	0.125	2	30	109.60988	473613
2	0.3	2.5	0.125	2	33	120.3923	668244
2	0.2	2.5	0.125	2	38	131.97301	996029
2	1.8	1.25	0.0625	2	3	3.5760837	850
2	1.7	1.25	0.0625	2	4	7.5981944	2085
2	1.6	1.25	0.0625	2	5	12.189454	4043
2	1.5	1.25	0.0625	2	7	17.864702	9050
2	1.4	1.25	0.0625	2	8	23.532413	14584
2	1.3	1.25	0.0625	2	10	30.031793	26272
2	1.2	1.25	0.0625	2	11	36.55492	36226
2	1.1	1.25	0.0625	2	13	43.84422	57976
2	1	1.25	0.0625	2	15	51.432951	85776
2	0.9	1.25	0.0625	2	17	59.426968	130032
2	0.8	1.25	0.0625	2	19	67.78937	183753
2	0.7	1.25	0.0625	2	22	76.691832	269810
2	0.6	1.25	0.0625	2	24	85.908172	373187
2	0.5	1.25	0.0625	2	28	95.793639	567174
2	0.4	1.25	0.0625	2	32	106.21052	788513
2	0.3	1.25	0.0625	2	37	117.34526	1206468
2	0.2	1.25	0.0625	2	44	129.4279	1920889
2	1.8	60	2	2	22	15.477142	59863
2	1.7	60	2	2	23	24.559855	68502
2	1.6	60	2	2	24	34.159628	73704
2	1.5	60	2	2	25	44.201827	83255
2	1.4	60	2	2	26	54.63647	90470
2	1.3	60	2	2	27	65.4262	98493
2	1.2	60	2	2	28	76.548969	109184
2	1.1	60	2	2	29	88.002498	119787
2	1	60	2	2	30	99.765654	131145
2	0.9	60	2	2	31	111.84071	142640
2	0.8	60	2	2	31	124.23415	140308
2	0.7	60	2	2	32	136.97477	177745
2	0.6	60	2	2	33	150.06399	198206
2	0.5	60	2	2	34	163.51982	230662
2	0.4	60	2	2	36	177.3971	275258
2	0.3	60	2	2	37	191.75487	321156
2	0.2	60	2	2	39	206.69705	395620
2	1.8	30	1	2	20	14.771837	42215
2	1.7	30	1	2	22	23.610831	56050
2	1.6	30	1	2	23	32.992909	65053
2	1.5	30	1	2	25	42.901718	77768
2	1.4	30	1	2	26	53.198948	88389
2	1.3	30	1	2	27	63.909031	98883
2	1.2	30	1	2	28	74.978435	113508
2	1.1	30	1	2	29	86.383599	125964
2	1	30	1	2	30	98.157236	139830
2	0.9	30	1	2	30	110.20578	140337
2	0.8	30	1	2	31	122.66004	169827
2	0.7	30	1	2	33	135.50152	199530
2	0.6	30	1	2	34	148.6718	237415
2	0.5	30	1	2	35	162.24622	273232
2	0.4	30	1	2	36	176.255	320550
2	0.3	30	1	2	38	190.79788	398395
2	0.2	30	1	2	40	205.96204	492523
2	1.8	15	0.5	2	19	13.892062	33253
2	1.7	15	0.5	2	20	22.382726	42423
2	1.6	15	0.5	2	22	31.503716	58414
2	1.5	15	0.5	2	23	41.152129	65666
2	1.4	15	0.5	2	24	51.256327	79692
2	1.3	15	0.5	2	26	61.860336	97677
2	1.2	15	0.5	2	27	72.81993	116683
2	1.1	15	0.5	2	28	84.167325	135875
2	1	15	0.5	2	29	95.906782	153447
2	0.9	15	0.5	2	30	107.99701	173727
2	0.8	15	0.5	2	32	120.56518	212658
2	0.7	15	0.5	2	33	133.43462	250561
2	0.6	15	0.5	2	34	146.71433	292856
2	0.5	15	0.5	2	36	160.48106	363769
2	0.4	15	0.5	2	38	174.7054	449385
2	0.3	15	0.5	2	40	189.48427	548861
2	0.2	15	0.5	2	43	204.95493	729171
2	1.8	7.5	0.25	2	16	12.758803	21897
2	1.7	7.5	0.25	2	18	20.886594	34499
2	1.6	7.5	0.25	2	20	29.699579	49427
2	1.5	7.5	0.25	2	21	39.039352	62741
2	1.4	7.5	0.25	2	23	48.929919	81890
2	1.3	7.5	0.25	2	24	59.263006	98705
2	1.2	7.5	0.25	2	26	70.121079	130192
2	1.1	7.5	0.25	2	27	81.355893	155574
2	1	7.5	0.25	2	29	93.044853	198888
2	0.9	7.5	0.25	2	30	105.12183	222996
2	0.8	7.5	0.25	2	32	117.69499	279822
2	0.7	7.5	0.25	2	33	130.62516	331321
2	0.6	7.5	0.25	2	35	144.10058	414973
2	0.5	7.5	0.25	2	37	158.0316	512833
2	0.4	7.5	0.25	2	40	172.53699	664865
2	0.3	7.5	0.25	2	43	187.6481	875806
2	0.2	7.5	0.25	2	46	203.52179	1148812
2	1.8	3.75	0.125	2	12	11.10983	12385
2	1.7	3.75	0.125	2	14	18.742278	21829
2	1.6	3.75	0.125	2	16	27.15022	34904
2	1.5	3.75	0.125	2	18	36.22511	53132
2	1.4	3.75	0.125	2	20	45.864901	77746
2	1.3	3.75	0.125	2	22	56.032796	104634
2	1.2	3.75	0.125	2	23	66.570693	130480
2	1.1	3.75	0.125	2	25	77.713106	171925
2	1	3.75	0.125	2	27	89.312159	228560
2	0.9	3.75	0.125	2	29	101.39524	288267
2	0.8	3.75	0.125	2	31	113.92588	360267
2	0.7	3.75	0.125	2	34	127.02875	495123
2	0.6	3.75	0.125	2	36	140.55318	623631
2	0.5	3.75	0.125	2	39	154.71148	803143
2	0.4	3.75	0.125	2	42	169.48269	1043726
2	0.3	3.75	0.125	2	47	185.0309	1464514
2	0.2	3.75	0.125	2	52	201.46019	2051068
2	1.8	1.875	0.0625	2	7	8.5198694	4738
2	1.7	1.875	0.0625	2	9	15.461564	10335
2	1.6	1.875	0.0625	2	11	23.335674	19066
2	1.5	1.875	0.0625	2	13	31.961252	32369
2	1.4	1.875	0.0625	2	16	41.538501	58039
2	1.3	1.875	0.0625	2	18	51.406362	89546
2	1.2	1.875	0.0625	2	20	61.777995	124430
2	1.1	1.875	0.0625	2	22	72.725874	185690
2	1	1.875	0.0625	2	25	84.336418	259637
2	0.9	1.875	0.0625	2	27	96.288033	339258
2	0.8	1.875	0.0625	2	30	108.89439	466368
2	0.7	1.875	0.0625	2	33	122.01177	654216
2	0.6	1.875	0.0625	2	37	135.77558	911445
2	0.5	1.875	0.0625	2	41	150.14178	1242185
2	0.4	1.875	0.0625	2	46	165.26535	1823126
2	0.3	1.875	0.0625	2	52	181.26485	2573159
2	0.2	1.875	0.0625	2	60	198.3991	3955307
2	1.8	80	2	2	30	22.023985	130507
2	1.7	80	2	2	32	34.657326	146326
2	1.6	80	2	2	33	47.882117	167789
2	1.5	80	2	2	35	61.657849	189156
2	1.4	80	2	2	36	75.870212	206132
2	1.3	80	2	2	37	90.481338	216374
2	1.2	80	2	2	38	105.48947	237127
2	1.1	80	2	2	39	120.87566	257409
2	1	80	2	2	40	136.62164	270924
2	0.9	80	2	2	41	152.73707	294640
2	0.8	80	2	2	42	169.21798	323331
2	0.7	80	2	2	43	186.07596	359362
2	0.6	80	2	2	44	203.34568	407335
2	0.5	80	2	2	45	221.03823	450704
2	0.4	80	2	2	46	239.20281	531658
2	0.3	80	2	2	48	257.93193	597588
2	0.2	80	2	2	50	277.32563	746372
2	1.8	40	1	2	29	21.148685	92269
2	1.7	40	1	2	31	33.474792	121911
2	1.6	40	1	2	32	46.461007	133523
2	1.5	40	1	2	34	60.058635	159721
2	1.4	40	1	2	35	74.118175	182271
2	1.3	40	1	2	36	88.641399	196070
2	1.2	40	1	2	37	103.5803	216685
2	1.1	40	1	2	38	118.92022	239884
2	1	40	1	2	40	134.73213	283169
2	0.9	40	1	2	41	150.87889	311499
2	0.8	40	1	2	42	167.41191	343255
2	0.7	40	1	2	43	184.35388	393207
2	0.6	40	1	2	44	201.71643	432232
2	0.5	40	1	2	46	219.56807	537738
2	0.4	40	1	2	47	237.90009	597656
2	0.3	40	1	2	49	256.8373	719319
2	0.2	40	1	2	52	276.49377	925544
2	1.8	20	0.5	2	27	20.034985	78286
2	1.7	20	0.5	2	29	31.945467	100155
2	1.6	20	0.5	2	31	44.6041	127407
2	1.5	20	0.5	2	32	57.871074	145043
2	1.4	20	0.5	2	34	71.759316	173830
2	1.3	20	0.5	2	35	86.117511	424095
2	1.2	20	0.5	2	36	100.94447	231653
2	1.1	20	0.5	2	38	116.32423	286144
2	1	20	0.5	2	39	132.05348	309526
2	0.9	20	0.5	2	41	148.28235	351276
2	0.8	20	0.5	2	42	164.88887	393610
2	0.7	20	0.5	2	43	181.91799	459986
2	0.6	20	0.5	2	45	199.4855	560421
2	0.5	20	0.5	2	47	217.53419	672715
2	0.4	20	0.5	2	49	236.11835	806995
2	0.3	20	0.5	2	51	255.33011	953580
2	0.2	20	0.5	2	54	275.3393	1212514
2	1.8	10	0.25	2	23	18.686941	54521
2	1.7	10	0.25	2	26	30.12478	92482
2	1.6	10	0.25	2	28	42.351515	114400
2	1.5	10	0.25	2	30	55.289611	157058
2	1.4	10	0.25	2	32	68.853033	192843
2	1.3	10	0.25	2	33	82.941297	226691
2	1.2	10	0.25	2	35	97.610842	269222
2	1.1	10	0.25	2	37	112.84508	342913
2	1	10	0.25	2	39	128.59242	431457
2	0.9	10	0.25	2	40	144.72568	452654
2	0.8	10	0.25	2	42	161.44244	559135
2	0.7	10	0.25	2	44	178.65589	675191
2	0.6	10	0.25	2	46	196.37645	779977
2	0.5	10	0.25	2	49	214.70612	984310
2	0.4	10	0.25	2	51	233.58921	1193972
2	0.3	10	0.25	2	55	253.23539	1607792
2	0.2	10	0.25	2	59	273.72827	2070826
2	1.8	5	0.125	2	18	16.804105	33128
2	1.7	5	0.125	2	21	27.668312	57683
2	1.6	5	0.125	2	24	39.497247	91744
2	1.5	5	0.125	2	26	51.989689	126685
2	1.4	5	0.125	2	28	65.14774	162590
2	1.3	5	0.125	2	31	79.105819	229886
2	1.2	5	0.125	2	33	93.526494	292746
2	1.1	5	0.125	2	35	108.51385	390341
2	1	5	0.125	2	37	124.10906	462873
2	0.9	5	0.125	2	40	140.28868	568463
2	0.8	5	0.125	2	42	156.98931	717179
2	0.7	5	0.125	2	45	174.2967	895156
2	0.6	5	0.125	2	48	192.2209	1167561
2	0.5	5	0.125	2	51	210.77046	1399835
2	0.4	5	0.125	2	55	230.07637	1794597
2	0.3	5	0.125	2	59	250.19016	2418999
2	0.2	5	0.125	2	65	271.35404	3238162
2	1.8	2.5	0.0625	2	12	13.879618	16363
2	1.7	2.5	0.0625	2	15	24.022221	35966
2	1.6	2.5	0.0625	2	18	35.236263	61241
2	1.5	2.5	0.0625	2	21	47.325303	107292
2	1.4	2.5	0.0625	2	24	60.205598	160222
2	1.3	2.5	0.0625	2	26	73.597753	221428
2	1.2	2.5	0.0625	2	29	87.868512	301525
2	1.1	2.5	0.0625	2	32	102.75547	448001
2	1	2.5	0.0625	2	35	118.24461	601410
2	0.9	2.5	0.0625	2	38	134.33275	794685
2	0.8	2.5	0.0625	2	41	151.04651	1032235
2	0.7	2.5	0.0625	2	45	168.44939	1382074
2	0.6	2.5	0.0625	2	49	186.53491	1710598
2	0.5	2.5	0.0625	2	53	205.36508	2255883
2	0.4	2.5	0.0625	2	59	225.10964	3158647
2	0.3	2.5	0.0625	2	66	245.85535	4363667
2	0.2	2.5	0.0625	2	75	267.87165	6446462
2	1.8	100	2	2	39	28.753947	283792
2	1.7	100	2	2	41	44.986186	316193
2	1.6	100	2	2	43	61.915568	364597
2	1.5	100	2	2	44	79.410132	387239
2	1.4	100	2	2	45	97.412648	418665
2	1.3	100	2	2	46	115.86914	446929
2	1.2	100	2	2	47	134.76548	491254
2	1.1	100	2	2	49	154.12072	553345
2	1	100	2	2	50	173.85441	552889
2	0.9	100	2	2	51	193.99035	593073
2	0.8	100	2	2	52	214.54482	638161
2	0.7	100	2	2	53	235.51817	720159
2	0.6	100	2	2	54	256.9329	783134
2	0.5	100	2	2	56	278.846	893094
2	0.4	100	2	2	57	301.27974	1023288
2	0.3	100	2	2	59	324.32611	1172129
2	0.2	100	2	2	61	348.11626	1359125
2	1.8	50	1	2	38	27.699009	279362
2	1.7	50	1	2	40	43.581282	305200
2	1.6	50	1	2	41	60.212177	336345
2	1.5	50	1	2	43	77.547515	370039
2	1.4	50	1	2	44	95.393005	415250
2	1.3	50	1	2	46	113.82392	413150
2	1.2	50	1	2	47	132.65231	491036
2	1.1	50	1	2	48	151.94914	536867
2	1	50	1	2	49	171.66595	539656
2	0.9	50	1	2	51	191.90149	686713
2	0.8	50	1	2	52	212.51481	795868
2	0.7	50	1	2	53	233.5675	950187
2	0.6	50	1	2	55	255.14693	1026737
2	0.5	50	1	2	56	277.19241	1042790
2	0.4	50	1	2	58	299.83534	1149058
2	0.3	50	1	2	60	323.11395	1532087
2	0.2	50	1	2	63	347.19926	1951851
2	1.8	25	0.5	2	35	26.328645	176139
2	1.7	25	0.5	2	37	41.695087	211753
2	1.6	25	0.5	2	40	58.008976	264843
2	1.5	25	0.5	2	41	74.952303	306596
2	1.4	25	0.5	2	43	92.622771	381442
2	1.3	25	0.5	2	45	110.87977	452737
2	1.2	25	0.5	2	46	129.61176	517313
2	1.1	25	0.5	2	48	148.9274	575628
2	1	25	0.5	2	49	168.65942	601233
2	0.9	25	0.5	2	51	188.97124	727386
2	0.8	25	0.5	2	52	209.65269	828300
2	0.7	25	0.5	2	54	230.90148	925344
2	0.6	25	0.5	2	56	252.65959	1111962
2	0.5	25	0.5	2	58	274.95176	1258550
2	0.4	25	0.5	2	60	297.84713	1487003
2	0.3	25	0.5	2	63	321.46019	1887094
2	0.2	25	0.5	2	66	345.9326	2345862
2	1.8	12.5	0.25	2	31	24.784894	122087
2	1.7	12.5	0.25	2	34	39.555715	170187
2	1.6	12.5	0.25	2	36	55.259841	222990
2	1.5	12.5	0.25	2	39	71.861062	293537
2	1.4	12.5	0.25	2	41	89.160252	350892
2	1.3	12.5	0.25	2	43	107.13711	431949
2	1.2	12.5	0.25	2	45	125.68671	507603
2	1.1	12.5	0.25	2	47	144.87437	595296
2	1	12.5	0.25	2	49	164.63992	726735
2	0.9	12.5	0.25	2	50	184.82043	790049
2	0.8	12.5	0.25	2	53	205.78396	969758
2	0.7	12.5	0.25	2	55	227.17247	1137603
2	0.6	12.5	0.25	2	57	249.14904	1336873
2	0.5	12.5	0.25	2	60	271.77353	1617411
2	0.4	12.5	0.25	2	63	295.04959	1957132
2	0.3	12.5	0.25	2	66	319.10102	2422868
2	0.2	12.5	0.25	2	71	344.14503	3259078
2	1.8	6.25	0.125	2	25	22.726985	84440
2	1.7	6.25	0.125	2	29	36.895088	139767
2	1.6	6.25	0.125	2	32	52.06228	200001
2	1.5	6.25	0.125	2	35	68.114753	295499
2	1.4	6.25	0.125	2	37	84.950557	374428
2	1.3	6.25	0.125	2	40	102.57397	460509
2	1.2	6.25	0.125	2	42	120.86098	590285
2	1.1	6.25	0.125	2	45	139.84458	758746
2	1	6.25	0.125	2	47	159.42866	931576
2	0.9	6.25	0.125	2	50	179.68399	1129412
2	0.8	6.25	0.125	2	53	200.61114	1385909
2	0.7	6.25	0.125	2	56	222.1693	1698997
2	0.6	6.25	0.125	2	59	244.37395	2052047
2	0.5	6.25	0.125	2	62	267.281	2501014
2	0.4	6.25	0.125	2	67	291.07392	3241525
2	0.3	6.25	0.125	2	72	315.74038	4173445
2	0.2	6.25	0.125	2	78	341.52277	5648126
2	1.8	3.125	0.0625	2	18	19.610076	41619
2	1.7	3.125	0.0625	2	22	32.952352	90159
2	1.6	3.125	0.0625	2	25	47.329416	136372
2	1.5	3.125	0.0625	2	29	62.95397	234730
2	1.4	3.125	0.0625	2	32	79.35118	338383
2	1.3	3.125	0.0625	2	35	96.560647	441202
2	1.2	3.125	0.0625	2	38	114.52892	616525
2	1.1	3.125	0.0625	2	41	133.24404	814768
2	1	3.125	0.0625	2	45	152.78588	1111041
2	0.9	3.125	0.0625	2	48	172.89079	1384782
2	0.8	3.125	0.0625	2	52	193.82594	1743279
2	0.7	3.125	0.0625	2	56	215.46484	2321266
2	0.6	3.125	0.0625	2	60	237.86188	2930617
2	0.5	3.125	0.0625	2	66	261.21273	3914445
2	0.4	3.125	0.0625	2	72	285.47072	5058589
2	0.3	3.125	0.0625	2	79	310.85331	6918453
2	0.2	3.125	0.0625	2	89	337.6577	9940673
