r	c	alpha	beta	M	Q_B2	Pi_B2	Time_B2
2	0.2	40	2	2	27	136.32479	443308
2	1.8	20	1	2	12	8.6579757	48848
2	1.7	20	1	2	14	14.114525	72459
2	1.6	20	1	2	15	20.000695	74794
2	1.5	20	1	2	16	26.261484	86981
2	1.4	20	1	2	17	32.860045	133611
2	1.3	20	1	2	18	39.762954	156289
2	1.2	20	1	2	18	46.977405	117723
2	1.1	20	1	2	19	54.468888	165860
2	1	20	1	2	20	62.23674	185331
2	0.9	20	1	2	21	70.273272	262750
2	0.8	20	1	2	21	78.604092	204900
2	0.7	20	1	2	22	87.232017	239275
2	0.6	20	1	2	23	96.166191	299808
2	0.5	20	1	2	24	105.43146	420339
2	0.4	20	1	2	25	115.06021	491315
2	0.3	20	1	2	27	125.12232	698827
2	0.2	20	1	2	28	135.70615	815536
2	1.8	10	0.5	2	11	7.9787502	39667
2	1.7	10	0.5	2	13	13.201589	86604
2	1.6	10	0.5	2	14	18.888237	93002
2	1.5	10	0.5	2	15	24.986139	152913
2	1.4	10	0.5	2	16	31.443011	150623
2	1.3	10	0.5	2	17	38.239175	192205
2	1.2	10	0.5	2	18	45.349846	239155
2	1.1	10	0.5	2	19	52.789436	268979
2	1	10	0.5	2	20	60.519679	346947
2	0.9	10	0.5	2	21	68.568086	372305
2	0.8	10	0.5	2	22	76.920842	481160
2	0.7	10	0.5	2	23	85.605005	511047
2	0.6	10	0.5	2	24	94.62096	830315
2	0.5	10	0.5	2	25	103.9987	585411
2	0.4	10	0.5	2	27	113.77943	1209335
2	0.3	10	0.5	2	28	124.03394	1088314
2	0.2	10	0.5	2	31	134.8646	2069576
2	1.8	5	0.25	2	10	7.0882652	54719
2	1.7	5	0.25	2	11	12.026079	106415
2	1.6	5	0.25	2	13	17.466439	164041
2	1.5	5	0.25	2	14	23.370152	166515
2	1.4	5	0.25	2	15	29.654157	186703
2	1.3	5	0.25	2	16	36.308444	356109
2	1.2	5	0.25	2	17	43.308574	378768
2	1.1	5	0.25	2	18	50.655715	497302
2	1	5	0.25	2	19	58.332289	405640
2	0.9	5	0.25	2	21	66.35562	846460
2	0.8	5	0.25	2	22	74.726432	953078
2	0.7	5	0.25	2	23	83.45016	1194650
2	0.6	5	0.25	2	25	92.552634	1609399
2	0.5	5	0.25	2	26	102.0623	1199790
2	0.4	5	0.25	2	28	112.03198	1947916
2	0.3	5	0.25	2	31	122.53052	3662955
2	0.2	5	0.25	2	34	133.68742	4596748
2	1.8	2.5	0.125	2	8	5.8950113	64101
2	1.7	2.5	0.125	2	10	10.468269	140928
2	1.6	2.5	0.125	2	11	15.632805	175229
2	1.5	2.5	0.125	2	12	21.273856	240201
2	1.4	2.5	0.125	2	14	27.342235	400598
2	1.3	2.5	0.125	2	15	33.824765	519277
2	1.2	2.5	0.125	2	16	40.683999	768788
2	1.1	2.5	0.125	2	18	47.90971	1102698
2	1	2.5	0.125	2	19	55.525818	1245517
2	0.9	2.5	0.125	2	20	63.497467	1399738
2	0.8	2.5	0.125	2	22	71.862638	1982982
2	0.7	2.5	0.125	2	24	80.616798	3231487
2	0.6	2.5	0.125	2	26	89.802097	3335441
2	0.5	2.5	0.125	2	28	99.451522	4456485
2	0.4	2.5	0.125	2	31	109.62141	6288234
2	0.3	2.5	0.125	2	34	120.40934	7752666
2	0.2	2.5	0.125	2	39	131.97724	9539306
2	1.8	1.25	0.0625	2	6	4.3811402	82943
2	1.7	1.25	0.0625	2	8	8.4992908	193446
2	1.6	1.25	0.0625	2	9	13.280776	319508
2	1.5	1.25	0.0625	2	11	18.578758	524215
2	1.4	1.25	0.0625	2	12	24.374178	773040
2	1.3	1.25	0.0625	2	13	30.591605	931163
2	1.2	1.25	0.0625	2	15	37.260969	1870110
2	1.1	1.25	0.0625	2	17	44.321316	2852599
2	1	1.25	0.0625	2	18	51.815219	3284266
2	0.9	1.25	0.0625	2	20	59.71823	4943892
2	0.8	1.25	0.0625	2	22	68.042035	6562703
2	0.7	1.25	0.0625	2	24	76.818433	6829086
2	0.6	1.25	0.0625	2	27	86.070822	13345977
2	0.5	1.25	0.0625	2	30	95.854049	15851976
2	0.4	1.25	0.0625	2	34	106.24522	21609103
2	0.3	1.25	0.0625	2	38	117.36614	21349533
2	0.2	1.25	0.0625	2	45	129.43882	23777973
2	1.8	60	2	2	22	15.477142	212114
2	1.7	60	2	2	23	24.559886	219345
2	1.6	60	2	2	24	34.159828	231301
2	1.5	60	2	2	25	44.201841	247426
2	1.4	60	2	2	26	54.636505	292450
2	1.3	60	2	2	27	65.426382	321974
2	1.2	60	2	2	28	76.549137	329602
2	1.1	60	2	2	29	88.005215	371119
2	1	60	2	2	30	99.769722	419749
2	0.9	60	2	2	31	111.84688	459343
2	0.8	60	2	2	32	124.24423	624638
2	0.7	60	2	2	32	136.97561	464581
2	0.6	60	2	2	33	150.0641	599226
2	0.5	60	2	2	34	163.51997	707354
2	0.4	60	2	2	36	177.39741	881155
2	0.3	60	2	2	37	191.75489	1036804
2	0.2	60	2	2	39	206.69706	1410507
2	1.8	30	1	2	21	14.77678	251652
2	1.7	30	1	2	22	23.610895	213672
2	1.6	30	1	2	24	33.016136	337276
2	1.5	30	1	2	25	42.902315	310872
2	1.4	30	1	2	26	53.214812	317396
2	1.3	30	1	2	27	63.912269	389995
2	1.2	30	1	2	28	74.97873	425314
2	1.1	30	1	2	29	86.390885	460138
2	1	30	1	2	30	98.157415	551234
2	0.9	30	1	2	31	110.25492	770211
2	0.8	30	1	2	32	122.69656	861042
2	0.7	30	1	2	33	135.50182	721074
2	0.6	30	1	2	34	148.67242	817861
2	0.5	30	1	2	35	162.24664	992682
2	0.4	30	1	2	37	176.26137	1679117
2	0.3	30	1	2	38	190.79799	1463703
2	0.2	30	1	2	40	205.96222	2087590
2	1.8	15	0.5	2	19	13.892075	158728
2	1.7	15	0.5	2	21	22.402117	324722
2	1.6	15	0.5	2	22	31.528348	246466
2	1.5	15	0.5	2	24	41.185009	533429
2	1.4	15	0.5	2	25	51.314716	594910
2	1.3	15	0.5	2	27	61.868775	810288
2	1.2	15	0.5	2	28	72.840406	830270
2	1.1	15	0.5	2	29	84.211495	863850
2	1	15	0.5	2	30	95.954532	907301
2	0.9	15	0.5	2	31	108.07207	1346940
2	0.8	15	0.5	2	32	120.56703	1093329
2	0.7	15	0.5	2	34	133.45621	1612924
2	0.6	15	0.5	2	35	146.75646	2163930
2	0.5	15	0.5	2	36	160.48204	1542933
2	0.4	15	0.5	2	38	174.70611	2067809
2	0.3	15	0.5	2	40	189.48437	2906146
2	0.2	15	0.5	2	43	204.95493	4168523
2	1.8	7.5	0.25	2	17	12.772029	190759
2	1.7	7.5	0.25	2	19	20.902659	286559
2	1.6	7.5	0.25	2	20	29.700382	351634
2	1.5	7.5	0.25	2	22	39.080269	620970
2	1.4	7.5	0.25	2	24	48.964109	862433
2	1.3	7.5	0.25	2	25	59.332791	1012999
2	1.2	7.5	0.25	2	27	70.148798	1389665
2	1.1	7.5	0.25	2	28	81.409181	1427055
2	1	7.5	0.25	2	30	93.092219	1950758
2	0.9	7.5	0.25	2	31	105.20047	2038446
2	0.8	7.5	0.25	2	33	117.73867	2735371
2	0.7	7.5	0.25	2	35	130.70667	4207293
2	0.6	7.5	0.25	2	36	144.14535	3681088
2	0.5	7.5	0.25	2	38	158.0721	4569499
2	0.4	7.5	0.25	2	41	172.54279	6190258
2	0.3	7.5	0.25	2	43	187.64857	4936609
2	0.2	7.5	0.25	2	47	203.53356	9797228
2	1.8	3.75	0.125	2	14	11.261002	227108
2	1.7	3.75	0.125	2	16	18.932633	381506
2	1.6	3.75	0.125	2	18	27.348086	604569
2	1.5	3.75	0.125	2	20	36.393206	942148
2	1.4	3.75	0.125	2	22	45.999679	1447676
2	1.3	3.75	0.125	2	24	56.124505	2031010
2	1.2	3.75	0.125	2	25	66.757252	2610981
2	1.1	3.75	0.125	2	27	77.869853	3379761
2	1	3.75	0.125	2	29	89.449974	4264900
2	0.9	3.75	0.125	2	31	101.50467	5711853
2	0.8	3.75	0.125	2	33	114.03979	6957973
2	0.7	3.75	0.125	2	35	127.06939	6305185
2	0.6	3.75	0.125	2	38	140.62724	11489131
2	0.5	3.75	0.125	2	41	154.75806	15156101
2	0.4	3.75	0.125	2	44	169.52778	17839745
2	0.3	3.75	0.125	2	48	185.03761	15261101
2	0.2	3.75	0.125	2	53	201.46934	18400134
2	1.8	1.875	0.0625	2	11	9.2145045	330124
2	1.7	1.875	0.0625	2	14	16.280878	771910
2	1.6	1.875	0.0625	2	16	24.187511	1186026
2	1.5	1.875	0.0625	2	18	32.795995	1931293
2	1.4	1.875	0.0625	2	20	42.029345	2701744
2	1.3	1.875	0.0625	2	22	51.855	4064814
2	1.2	1.875	0.0625	2	24	62.237406	5824811
2	1.1	1.875	0.0625	2	26	73.161141	8319033
2	1	1.875	0.0625	2	28	84.612067	10303785
2	0.9	1.875	0.0625	2	31	96.588824	17049262
2	0.8	1.875	0.0625	2	33	109.11707	18777778
2	0.7	1.875	0.0625	2	36	122.19188	24452965
2	0.6	1.875	0.0625	2	39	135.87036	26715028
2	0.5	1.875	0.0625	2	43	150.21091	37309838
2	0.4	1.875	0.0625	2	48	165.30036	44659835
2	0.3	1.875	0.0625	2	54	181.28504	50989509
2	0.2	1.875	0.0625	2	62	198.411	62663262
2	1.8	80	2	2	30	22.024003	525214
2	1.7	80	2	2	32	34.657413	562564
2	1.6	80	2	2	34	47.895418	836632
2	1.5	80	2	2	35	61.658335	671997
2	1.4	80	2	2	36	75.870517	674115
2	1.3	80	2	2	37	90.481412	785059
2	1.2	80	2	2	38	105.49323	809099
2	1.1	80	2	2	39	120.87642	843585
2	1	80	2	2	40	136.62263	940541
2	0.9	80	2	2	41	152.73726	969234
2	0.8	80	2	2	42	169.21824	1075080
2	0.7	80	2	2	43	186.07866	1259573
2	0.6	80	2	2	44	203.34583	1317486
2	0.5	80	2	2	45	221.03844	1553333
2	0.4	80	2	2	47	239.20358	2496856
2	0.3	80	2	2	48	257.93196	2198358
2	0.2	80	2	2	50	277.32565	2834718
2	1.8	40	1	2	29	21.14902	504640
2	1.7	40	1	2	31	33.475588	578132
2	1.6	40	1	2	33	46.483788	918638
2	1.5	40	1	2	34	60.059226	714869
2	1.4	40	1	2	36	74.133935	1201834
2	1.3	40	1	2	37	88.669802	1173264
2	1.2	40	1	2	38	103.62185	1317858
2	1.1	40	1	2	39	118.98292	1322234
2	1	40	1	2	40	134.73219	1098973
2	0.9	40	1	2	41	150.87894	1182266
2	0.8	40	1	2	42	167.41295	1518867
2	0.7	40	1	2	43	184.35497	1618413
2	0.6	40	1	2	45	201.73547	2526600
2	0.5	40	1	2	46	219.57047	2246531
2	0.4	40	1	2	48	237.90983	3378556
2	0.3	40	1	2	49	256.83752	3294127
2	0.2	40	1	2	52	276.49384	4078773
2	1.8	20	0.5	2	27	20.039327	497944
2	1.7	20	0.5	2	29	31.947089	647544
2	1.6	20	0.5	2	31	44.604509	735253
2	1.5	20	0.5	2	33	57.924734	1347933
2	1.4	20	0.5	2	35	71.793735	1475349
2	1.3	20	0.5	2	36	86.187707	1692581
2	1.2	20	0.5	2	38	101.0444	2466403
2	1.1	20	0.5	2	39	116.36923	2009903
2	1	20	0.5	2	40	132.12071	2472194
2	0.9	20	0.5	2	42	148.30268	3016301
2	0.8	20	0.5	2	43	164.92805	2594127
2	0.7	20	0.5	2	44	181.98345	3665768
2	0.6	20	0.5	2	46	199.51869	4315466
2	0.5	20	0.5	2	48	217.54168	5030750
2	0.4	20	0.5	2	50	236.12013	6340750
2	0.3	20	0.5	2	52	255.34317	6787554
2	0.2	20	0.5	2	55	275.34797	9940267
2	1.8	10	0.25	2	24	18.708293	487926
2	1.7	10	0.25	2	27	30.130812	820082
2	1.6	10	0.25	2	29	42.376201	1231419
2	1.5	10	0.25	2	31	55.320154	1833289
2	1.4	10	0.25	2	33	68.890131	2242566
2	1.3	10	0.25	2	35	83.043342	3097550
2	1.2	10	0.25	2	37	97.730988	3934043
2	1.1	10	0.25	2	38	112.94434	3319315
2	1	10	0.25	2	40	128.65473	3984555
2	0.9	10	0.25	2	42	144.85343	6307217
2	0.8	10	0.25	2	44	161.54417	7329289
2	0.7	10	0.25	2	46	178.73574	8197526
2	0.6	10	0.25	2	48	196.45463	9932241
2	0.5	10	0.25	2	50	214.73416	9081780
2	0.4	10	0.25	2	52	233.62601	10955368
2	0.3	10	0.25	2	56	253.23637	12839524
2	0.2	10	0.25	2	60	273.73006	15910048
2	1.8	5	0.125	2	21	16.961963	709518
2	1.7	5	0.125	2	24	27.82509	1251385
2	1.6	5	0.125	2	26	39.595707	1658451
2	1.5	5	0.125	2	28	52.124791	2434837
2	1.4	5	0.125	2	30	65.34165	3678997
2	1.3	5	0.125	2	33	79.187104	5138462
2	1.2	5	0.125	2	35	93.64213	6022215
2	1.1	5	0.125	2	37	108.66163	7338868
2	1	5	0.125	2	39	124.24814	9928767
2	0.9	5	0.125	2	42	140.38411	11913563
2	0.8	5	0.125	2	44	157.09801	15081022
2	0.7	5	0.125	2	47	174.38188	17596183
2	0.6	5	0.125	2	50	192.27744	20527912
2	0.5	5	0.125	2	53	210.82967	26631469
2	0.4	5	0.125	2	56	230.10584	22396580
2	0.3	5	0.125	2	61	250.22411	36352368
2	0.2	5	0.125	2	67	271.37451	42764642
2	1.8	2.5	0.0625	2	17	14.533682	969559
2	1.7	2.5	0.0625	2	20	24.671119	1710148
2	1.6	2.5	0.0625	2	23	35.819718	2904682
2	1.5	2.5	0.0625	2	25	47.82595	4090322
2	1.4	2.5	0.0625	2	28	60.601969	6798290
2	1.3	2.5	0.0625	2	30	74.094866	9687553
2	1.2	2.5	0.0625	2	33	88.259228	15274733
2	1.1	2.5	0.0625	2	35	103.06497	16418767
2	1	2.5	0.0625	2	38	118.49921	24062142
2	0.9	2.5	0.0625	2	41	134.55187	30087184
2	0.8	2.5	0.0625	2	44	151.2399	39456844
2	0.7	2.5	0.0625	2	48	168.58321	50271304
2	0.6	2.5	0.0625	2	51	186.63676	49072441
2	0.5	2.5	0.0625	2	56	205.46577	81569110
2	0.4	2.5	0.0625	2	61	225.15928	76129955
2	0.3	2.5	0.0625	2	68	245.87803	84785852
2	0.2	2.5	0.0625	2	77	267.88586	99012087
2	1.8	100	2	2	39	28.754015	1183635
2	1.7	100	2	2	41	44.986274	1150727
2	1.6	100	2	2	43	61.915691	1273426
2	1.5	100	2	2	44	79.410173	1357785
2	1.4	100	2	2	46	97.422653	1905365
2	1.3	100	2	2	47	115.8883	1846752
2	1.2	100	2	2	48	134.79755	1928509
2	1.1	100	2	2	49	154.1218	1710718
2	1	100	2	2	50	173.85496	1812831
2	0.9	100	2	2	51	193.99072	1945686
2	0.8	100	2	2	52	214.54515	2293243
2	0.7	100	2	2	53	235.51957	2405915
2	0.6	100	2	2	54	256.93495	2664093
2	0.5	100	2	2	56	278.84614	3317505
2	0.4	100	2	2	57	301.27991	3545883
2	0.3	100	2	2	59	324.32621	4279608
2	0.2	100	2	2	61	348.11627	5272690
2	1.8	50	1	2	38	27.702922	1042131
2	1.7	50	1	2	41	43.587651	1660171
2	1.6	50	1	2	42	60.268363	1814284
2	1.5	50	1	2	44	77.578795	2103093
2	1.4	50	1	2	45	95.446701	2169883
2	1.3	50	1	2	46	113.82482	1715032
2	1.2	50	1	2	48	132.68688	2790979
2	1.1	50	1	2	49	151.98952	2724541
2	1	50	1	2	50	171.73356	2922136
2	0.9	50	1	2	51	191.90229	2357631
2	0.8	50	1	2	53	212.52692	4120655
2	0.7	50	1	2	54	233.60803	3891880
2	0.6	50	1	2	55	255.15311	3520729
2	0.5	50	1	2	57	277.21651	5176964
2	0.4	50	1	2	59	299.83719	6146883
2	0.3	50	1	2	61	323.11783	7205964
2	0.2	50	1	2	63	347.19928	6947756
2	1.8	25	0.5	2	35	26.34265	939268
2	1.7	25	0.5	2	38	41.733442	1886305
2	1.6	25	0.5	2	41	58.022641	2371020
2	1.5	25	0.5	2	43	75.044304	3345398
2	1.4	25	0.5	2	44	92.71035	2841016
2	1.3	25	0.5	2	46	110.9596	3532118
2	1.2	25	0.5	2	48	129.73002	4904718
2	1.1	25	0.5	2	49	149.01232	3892285
2	1	25	0.5	2	51	168.76514	6180729
2	0.9	25	0.5	2	52	189.01446	4593106
2	0.8	25	0.5	2	53	209.7257	5644198
2	0.7	25	0.5	2	55	230.94712	5779971
2	0.6	25	0.5	2	57	252.67639	6816437
2	0.5	25	0.5	2	59	274.95738	7842467
2	0.4	25	0.5	2	61	297.8562	11330422
2	0.3	25	0.5	2	63	321.46053	9777196
2	0.2	25	0.5	2	67	345.93296	14303940
2	1.8	12.5	0.25	2	32	24.789525	1333787
2	1.7	12.5	0.25	2	35	39.577319	2075740
2	1.6	12.5	0.25	2	38	55.330619	3802903
2	1.5	12.5	0.25	2	40	71.914468	3400982
2	1.4	12.5	0.25	2	42	89.235378	4530122
2	1.3	12.5	0.25	2	45	107.22472	7008848
2	1.2	12.5	0.25	2	47	125.83022	7832502
2	1.1	12.5	0.25	2	49	145.017	8544002
2	1	12.5	0.25	2	51	164.75846	10565435
2	0.9	12.5	0.25	2	53	185.04387	13142687
2	0.8	12.5	0.25	2	55	205.87588	12852631
2	0.7	12.5	0.25	2	57	227.26307	14411215
2	0.6	12.5	0.25	2	59	249.22883	17054018
2	0.5	12.5	0.25	2	61	271.80865	15042696
2	0.4	12.5	0.25	2	64	295.07482	18222333
2	0.3	12.5	0.25	2	67	319.12499	21698624
2	0.2	12.5	0.25	2	72	344.15092	24742818
2	1.8	6.25	0.125	2	28	22.837841	1548674
2	1.7	6.25	0.125	2	31	36.971293	2413311
2	1.6	6.25	0.125	2	34	52.154956	3972291
2	1.5	6.25	0.125	2	37	68.22868	6006202
2	1.4	6.25	0.125	2	39	85.114507	7797664
2	1.3	6.25	0.125	2	42	102.7334	10887313
2	1.2	6.25	0.125	2	44	121.03529	12112177
2	1.1	6.25	0.125	2	47	140.00799	16138509
2	1	6.25	0.125	2	50	159.61154	23020511
2	0.9	6.25	0.125	2	52	179.85547	21183678
2	0.8	6.25	0.125	2	55	200.73426	26128999
2	0.7	6.25	0.125	2	58	222.26254	40344214
2	0.6	6.25	0.125	2	61	244.46559	47657192
2	0.5	6.25	0.125	2	65	267.39207	74456757
2	0.4	6.25	0.125	2	69	291.11559	67789516
2	0.3	6.25	0.125	2	73	315.75935	62247842
2	0.2	6.25	0.125	2	80	341.54477	86916039
2	1.8	3.125	0.0625	2	23	20.10796	1873929
2	1.7	3.125	0.0625	2	27	33.396322	3560681
2	1.6	3.125	0.0625	2	30	47.868369	6425656
2	1.5	3.125	0.0625	2	33	63.345301	9711093
2	1.4	3.125	0.0625	2	36	79.722744	14884163
2	1.3	3.125	0.0625	2	39	96.932493	21666385
2	1.2	3.125	0.0625	2	42	114.91393	30196405
2	1.1	3.125	0.0625	2	45	133.61911	42274826
2	1	3.125	0.0625	2	48	153.04215	66327011
2	0.9	3.125	0.0625	2	51	173.16817	76992176
2	0.8	3.125	0.0625	2	55	194.02294	92637063
2	0.7	3.125	0.0625	2	59	215.62613	120887655
2	0.6	3.125	0.0625	2	64	238.0237	174822748
2	0.5	3.125	0.0625	2	69	261.2882	182342958
2	0.4	3.125	0.0625	2	74	285.5264	168462297
2	0.3	3.125	0.0625	2	82	310.89653	158482955
2	0.2	3.125	0.0625	2	91	337.67932	136213287
