r	c	alpha	beta	Q_T	Pi_T	Time_T	CPUTime_T	Comp_T
2	0.3	5	0.25	30	122.6931216	851568	9038470	1178955
2	0.2	5	0.25	34	133.7718417	1002872	10321270	1360090
2	1.8	2.5	0.125	7	6.663775302	347794	3420720	456591
2	1.7	2.5	0.125	9	11.40127671	446482	4124720	608520
2	1.6	2.5	0.125	10	16.66932004	545906	4680210	717483
2	1.5	2.5	0.125	11	22.37223168	621836	5192450	822429
2	1.4	2.5	0.125	13	28.49331693	762600	6454440	990119
2	1.3	2.5	0.125	14	34.97921616	771527	7021910	1096583
2	1.2	2.5	0.125	15	41.81504259	907744	8207750	1191024
2	1.1	2.5	0.125	17	49.01152342	1178181	9996640	1376795
2	1	2.5	0.125	18	56.5538107	1228869	10663010	1485074
2	0.9	2.5	0.125	20	64.44907523	1385483	12713850	1673218
2	0.8	2.5	0.125	21	72.71527592	1398617	13828370	1776628
2	0.7	2.5	0.125	23	81.36856873	1854676	15924320	1969334
2	0.6	2.5	0.125	25	90.44115203	1893605	18729780	2159019
2	0.5	2.5	0.125	27	99.96633459	2141410	21763230	2365886
2	0.4	2.5	0.125	30	110.0176094	2787280	27945880	2622120
2	0.3	2.5	0.125	34	120.6808739	3978995	34944810	3037759
2	0.2	2.5	0.125	38	132.1370584	4729282	44802120	3454666
2	1.8	1.25	0.0625	5	5.810922655	796557	3761620	777844
2	1.7	1.25	0.0625	6	10.22073402	1271133	5092160	1014158
2	1.6	1.25	0.0625	8	15.18350793	2194877	9181720	1437180
2	1.5	1.25	0.0625	9	20.61372328	2549813	11972800	1670889
2	1.4	1.25	0.0625	10	26.44637677	3013446	14795420	1913886
2	1.3	1.25	0.0625	12	32.67588195	3881693	18859900	2326294
2	1.2	1.25	0.0625	13	39.28234663	4496452	26280290	2577737
2	1.1	1.25	0.0625	15	46.25864996	5755099	33113210	3004939
2	1	1.25	0.0625	17	53.60598271	6978019	41644000	3325441
2	0.9	1.25	0.0625	18	61.34872712	6672278	46070670	3526115
2	0.8	1.25	0.0625	20	69.48884302	7260552	57755230	4035669
2	0.7	1.25	0.0625	23	78.07348929	9980880	75610590	4609029
2	0.6	1.25	0.0625	26	87.11981005	13641259	102753740	5325715
2	0.5	1.25	0.0625	29	96.70529497	15203598	117161870	5734860
2	0.4	1.25	0.0625	33	106.9006342	22982396	170675240	6273217
2	0.3	1.25	0.0625	38	117.840697	100397052	407572110	7327792
2	0.2	1.25	0.0625	45	129.7483026	261482478	1172612290	9275681
2	1.8	60	2	22	15.61558112	195485	2147280	143353
2	1.7	60	2	23	24.75060302	210422	2304960	151863
2	1.6	60	2	24	34.38144189	217102	2384840	158660
2	1.5	60	2	25	44.43722074	224995	2472160	164540
2	1.4	60	2	26	54.87279052	215969	2372590	171602
2	1.3	60	2	27	65.65675758	230988	2530820	179643
2	1.2	60	2	28	76.76922312	224017	2459690	184300
2	1.1	60	2	29	88.19732586	237353	2608890	191579
2	1	60	2	30	99.93548366	238228	2614770	195573
2	0.9	60	2	31	111.9856496	258679	2844820	205258
2	0.8	60	2	31	124.3651539	252695	2779620	206734
2	0.7	60	2	32	137.0788592	230369	2535740	211381
2	0.6	60	2	33	150.1403211	263290	2892350	220306
2	0.5	60	2	34	163.5762605	272692	2998060	226709
2	0.4	60	2	36	177.4296338	274335	3010910	240764
2	0.3	60	2	37	191.7756426	301901	3319690	248450
2	0.2	60	2	39	206.7057249	299441	3289500	258936
2	1.8	30	1	21	15.04851885	297001	3258470	203802
2	1.7	30	1	22	23.98600164	318257	3498270	215330
2	1.6	30	1	24	33.45255192	333655	3668570	235914
2	1.5	30	1	25	43.37640478	334532	3681470	244124
2	1.4	30	1	26	53.69735963	329584	3618680	255192
2	1.3	30	1	27	64.38720318	328462	3616940	267488
2	1.2	30	1	28	75.42672915	357287	3931200	278666
2	1.1	30	1	29	86.8048115	362745	3980770	287878
2	1	30	1	30	98.51914016	350103	3842720	299101
