r	c	alpha	beta	M	Q_B2m	Pi_B2m	Time_B2m	CPUTime_B2m	Comp_B2m
2	0.5	2.5	0.125	2	27	99.431914	13249	135230	2298
2	0.4	2.5	0.125	2	30	109.61409	22035	191720	2760
2	0.3	2.5	0.125	2	33	120.39717	26594	277270	3401
2	0.2	2.5	0.125	2	38	131.97884	43648	442430	4282
2	1.8	1.25	0.0625	2	3	3.5768493	75	900	73
2	1.7	1.25	0.0625	2	4	7.5995011	430	4450	135
2	1.6	1.25	0.0625	2	5	12.191397	197	2360	190
2	1.5	1.25	0.0625	2	7	17.867705	384	4610	307
2	1.4	1.25	0.0625	2	8	23.536294	3071	7540	380
2	1.3	1.25	0.0625	2	10	30.037048	969	11310	525
2	1.2	1.25	0.0625	2	11	36.5613	1286	14730	606
2	1.1	1.25	0.0625	2	13	43.85232	2825	25600	764
2	1	1.25	0.0625	2	15	51.442952	3016	33080	957
2	0.9	1.25	0.0625	2	17	59.439072	4901	50390	1149
2	0.8	1.25	0.0625	2	19	67.803778	6135	64170	1336
2	0.7	1.25	0.0625	2	22	76.709393	9336	98380	1686
2	0.6	1.25	0.0625	2	24	85.928502	12783	134190	1983
2	0.5	1.25	0.0625	2	28	95.818414	19752	206500	2534
2	0.4	1.25	0.0625	2	32	106.24012	29191	308580	3182
2	0.3	1.25	0.0625	2	37	117.38092	44904	476770	4076
2	0.2	1.25	0.0625	2	44	129.47178	76955	823530	5515
2	1.8	60	2	2	22	15.477142	2764	20930	956
2	1.7	60	2	2	23	24.559855	3254	28610	1023
2	1.6	60	2	2	24	34.159628	3618	31510	1072
2	1.5	60	2	2	25	44.201827	4227	37360	1206
2	1.4	60	2	2	26	54.63647	4692	41130	1248
2	1.3	60	2	2	27	65.4262	5168	44670	1294
2	1.2	60	2	2	28	76.548969	5736	50350	1375
2	1.1	60	2	2	29	88.002498	6285	56070	1422
2	1	60	2	2	30	99.765654	6858	60600	1475
2	0.9	60	2	2	31	111.84071	7489	66160	1551
2	0.8	60	2	2	31	124.23415	7601	68640	1510
2	0.7	60	2	2	32	136.97477	8920	81640	1666
2	0.6	60	2	2	33	150.06399	11344	92690	1756
2	0.5	60	2	2	34	163.51982	10878	96620	1830
2	0.4	60	2	2	36	177.3971	12784	118390	1996
2	0.3	60	2	2	37	191.75487	14839	138110	2171
2	0.2	60	2	2	39	206.69705	17490	164230	2318
2	1.8	30	1	2	20	14.771837	2138	19720	910
2	1.7	30	1	2	22	23.610831	2747	23600	1047
2	1.6	30	1	2	23	32.99291	3267	29130	1159
2	1.5	30	1	2	25	42.901718	4012	35210	1294
2	1.4	30	1	2	26	53.198949	7924	43780	1380
2	1.3	30	1	2	27	63.909031	5205	46890	1440
2	1.2	30	1	2	28	74.978436	5944	54470	1582
2	1.1	30	1	2	29	86.383599	6654	59980	1654
2	1	30	1	2	30	98.157236	8052	71970	1732
2	0.9	30	1	2	30	110.20578	7835	68870	1742
2	0.8	30	1	2	31	122.66004	8504	78750	1798
2	0.7	30	1	2	33	135.50152	10244	94560	1981
2	0.6	30	1	2	34	148.6718	12251	113280	2179
2	0.5	30	1	2	35	162.24622	14889	127440	2282
2	0.4	30	1	2	36	176.255	15535	149140	2466
2	0.3	30	1	2	38	190.79788	19137	186590	2785
2	0.2	30	1	2	40	205.96204	23880	236030	3142
2	1.8	15	0.5	2	19	13.892063	1697	14930	864
2	1.7	15	0.5	2	20	22.382728	2185	20410	953
2	1.6	15	0.5	2	22	31.503718	2842	26570	1149
2	1.5	15	0.5	2	23	41.152132	3332	30650	1226
2	1.4	15	0.5	2	24	51.256331	4054	37980	1352
2	1.3	15	0.5	2	26	61.86034	5011	46730	1520
2	1.2	15	0.5	2	27	72.819935	5746	53730	1605
2	1.1	15	0.5	2	28	84.16733	6769	62540	1767
2	1	15	0.5	2	29	95.906788	7718	72080	1855
2	0.9	15	0.5	2	30	107.99702	8635	82460	1958
2	0.8	15	0.5	2	32	120.56519	10489	100380	2157
2	0.7	15	0.5	2	33	133.43463	12255	115170	2368
2	0.6	15	0.5	2	34	146.71434	14354	140590	2570
2	0.5	15	0.5	2	36	160.48107	17435	170810	2817
2	0.4	15	0.5	2	38	174.70541	21683	215470	3195
2	0.3	15	0.5	2	40	189.48428	26770	269450	3570
2	0.2	15	0.5	2	43	204.95494	35609	362740	4158
2	1.8	7.5	0.25	2	16	12.758821	1120	9930	685
2	1.7	7.5	0.25	2	18	20.886618	1676	15430	864
2	1.6	7.5	0.25	2	20	29.699609	2335	22670	1022
2	1.5	7.5	0.25	2	21	39.039389	2931	26780	1150
2	1.4	7.5	0.25	2	23	48.929962	3751	32270	1312
2	1.3	7.5	0.25	2	24	59.263057	4494	43240	1413
2	1.2	7.5	0.25	2	26	70.121139	5903	56120	1647
2	1.1	7.5	0.25	2	27	81.355961	7098	66810	1812
2	1	7.5	0.25	2	29	93.044931	9498	88530	2009
2	0.9	7.5	0.25	2	30	105.12192	9996	96690	2124
2	0.8	7.5	0.25	2	32	117.69509	12444	121420	2362
2	0.7	7.5	0.25	2	33	130.62526	14688	144920	2582
2	0.6	7.5	0.25	2	35	144.1007	18627	185310	2950
2	0.5	7.5	0.25	2	37	158.03174	23204	233900	3325
2	0.4	7.5	0.25	2	40	172.53714	30397	309230	3856
2	0.3	7.5	0.25	2	43	187.64828	40548	418330	4500
2	0.2	7.5	0.25	2	46	203.52198	57294	575760	5265
2	1.8	3.75	0.125	2	12	11.109973	623	7140	468
2	1.7	3.75	0.125	2	14	18.742474	989	10010	605
2	1.6	3.75	0.125	2	16	27.150478	4943	17770	774
2	1.5	3.75	0.125	2	18	36.225438	2188	21800	935
2	1.4	3.75	0.125	2	20	45.865308	3152	30770	1140
2	1.3	3.75	0.125	2	22	56.033291	4208	37940	1320
2	1.2	3.75	0.125	2	23	66.571263	5184	50350	1471
2	1.1	3.75	0.125	2	25	77.71378	6823	66740	1664
2	1	3.75	0.125	2	27	89.312946	9312	91790	1938
2	0.9	3.75	0.125	2	29	101.39614	11419	110770	2168
2	0.8	3.75	0.125	2	31	113.92692	14220	142910	2402
2	0.7	3.75	0.125	2	34	127.02996	19647	199350	2874
2	0.6	3.75	0.125	2	36	140.55454	24769	250160	3271
2	0.5	3.75	0.125	2	39	154.71304	32630	334710	3812
2	0.4	3.75	0.125	2	42	169.48446	43931	457710	4537
2	0.3	3.75	0.125	2	47	185.03298	66804	682560	5598
2	0.2	3.75	0.125	2	52	201.46258	94779	1009270	6852
2	1.8	1.875	0.0625	2	7	8.5205328	261	3130	239
2	1.7	1.875	0.0625	2	9	15.462593	489	5800	365
2	1.6	1.875	0.0625	2	11	23.337134	850	9480	493
2	1.5	1.875	0.0625	2	13	31.963208	1286	13430	631
2	1.4	1.875	0.0625	2	16	41.541149	2290	23980	890
2	1.3	1.875	0.0625	2	18	51.40966	3350	33720	1060
2	1.2	1.875	0.0625	2	20	61.78201	4675	47710	1279
2	1.1	1.875	0.0625	2	22	72.730681	6527	65970	1483
2	1	1.875	0.0625	2	25	84.342277	9592	98080	1837
2	0.9	1.875	0.0625	2	27	96.294849	12479	126920	2069
2	0.8	1.875	0.0625	2	30	108.90246	17141	177250	2412
2	0.7	1.875	0.0625	2	33	122.02121	24030	249500	2874
2	0.6	1.875	0.0625	2	37	135.78675	34818	365360	3613
2	0.5	1.875	0.0625	2	41	150.15482	48477	510320	4352
2	0.4	1.875	0.0625	2	46	165.28069	70520	746930	5361
2	0.3	1.875	0.0625	2	52	181.28297	105528	1119220	6708
2	0.2	1.875	0.0625	2	60	198.42085	171808	1855700	8944
2	1.8	80	2	2	30	22.023985	6572	53000	1480
2	1.7	80	2	2	32	34.657326	7789	66180	1596
2	1.6	80	2	2	33	47.882117	8671	74040	1651
2	1.5	80	2	2	35	61.657849	10133	89000	1797
2	1.4	80	2	2	36	75.870212	11116	97470	1890
2	1.3	80	2	2	37	90.481338	12370	111340	2016
2	1.2	80	2	2	38	105.48947	13385	119090	2071
2	1.1	80	2	2	39	120.87566	14674	131110	2140
2	1	80	2	2	40	136.62164	15793	142400	2242
2	0.9	80	2	2	41	152.73707	16997	154700	2304
2	0.8	80	2	2	42	169.21798	18155	164800	2357
2	0.7	80	2	2	43	186.07596	19550	179140	2423
2	0.6	80	2	2	44	203.34568	22020	203250	2590
2	0.5	80	2	2	45	221.03823	24016	223320	2672
2	0.4	80	2	2	46	239.20281	27173	256520	2869
2	0.3	80	2	2	48	257.93193	31248	297020	3087
2	0.2	80	2	2	50	277.32563	37758	364760	3447
2	1.8	40	1	2	29	21.148685	5467	46940	1485
2	1.7	40	1	2	31	33.474792	6915	60190	1719
2	1.6	40	1	2	32	46.461007	7928	70390	1801
2	1.5	40	1	2	34	60.058635	9374	82810	1957
2	1.4	40	1	2	35	74.118175	12628	100660	2101
2	1.3	40	1	2	36	88.641399	11866	107610	2180
2	1.2	40	1	2	37	103.5803	13401	123210	2365
2	1.1	40	1	2	38	118.92022	14674	135960	2438
2	1	40	1	2	40	134.73213	16958	157800	2626
2	0.9	40	1	2	41	150.87889	18629	173570	2755
2	0.8	40	1	2	42	167.41191	20165	189370	2834
2	0.7	40	1	2	43	184.35388	23023	219560	3044
2	0.6	40	1	2	44	201.71643	25148	240150	3148
2	0.5	40	1	2	46	219.56807	30732	295960	3538
2	0.4	40	1	2	47	237.90009	34177	336800	3776
2	0.3	40	1	2	49	256.8373	39837	393700	4009
2	0.2	40	1	2	52	276.49377	50582	506960	4592
2	1.8	20	0.5	2	27	20.034986	4284	36390	1394
2	1.7	20	0.5	2	29	31.945468	5572	49430	1581
2	1.6	20	0.5	2	31	44.604101	7106	62720	1834
2	1.5	20	0.5	2	32	57.871075	8304	75590	1983
2	1.4	20	0.5	2	34	71.759318	10989	95940	2173
2	1.3	20	0.5	2	35	86.117513	11697	108270	2366
2	1.2	20	0.5	2	36	100.94447	14282	123590	2463
2	1.1	20	0.5	2	38	116.32424	15942	152160	2774
2	1	20	0.5	2	39	132.05348	17703	168470	2883
2	0.9	20	0.5	2	41	148.28236	20578	196600	3106
2	0.8	20	0.5	2	42	164.88887	22849	221560	3257
2	0.7	20	0.5	2	43	181.91799	26008	251620	3491
2	0.6	20	0.5	2	45	199.48551	31311	310610	3900
2	0.5	20	0.5	2	47	217.5342	37865	378710	4317
2	0.4	20	0.5	2	49	236.11835	45669	462730	4766
2	0.3	20	0.5	2	51	255.33011	54802	560480	5229
2	0.2	20	0.5	2	54	275.3393	70132	724120	5885
2	1.8	10	0.25	2	23	18.68695	2871	24480	1121
2	1.7	10	0.25	2	26	30.124792	4362	39670	1433
2	1.6	10	0.25	2	28	42.351531	5652	52080	1613
2	1.5	10	0.25	2	30	55.289629	7459	69330	1869
2	1.4	10	0.25	2	32	68.853055	9161	82050	2069
2	1.3	10	0.25	2	33	82.941322	10803	101500	2264
2	1.2	10	0.25	2	35	97.610871	13362	127930	2545
2	1.1	10	0.25	2	37	112.84512	16214	154990	2791
2	1	10	0.25	2	39	128.59246	20108	195360	3127
2	0.9	10	0.25	2	40	144.72572	22441	219030	3277
2	0.8	10	0.25	2	42	161.44248	28795	273400	3652
2	0.7	10	0.25	2	44	178.65594	34143	327800	3969
2	0.6	10	0.25	2	46	196.3765	39009	394580	4390
2	0.5	10	0.25	2	49	214.70619	49705	507790	5029
2	0.4	10	0.25	2	51	233.58928	61210	631960	5667
2	0.3	10	0.25	2	55	253.23547	81104	846720	6572
2	0.2	10	0.25	2	59	273.72836	109416	1157690	7739
2	1.8	5	0.125	2	18	16.804191	1643	13900	813
2	1.7	5	0.125	2	21	27.668429	2713	25250	1082
2	1.6	5	0.125	2	24	39.497401	4245	40460	1348
2	1.5	5	0.125	2	26	51.989877	5732	54730	1585
2	1.4	5	0.125	2	28	65.147968	7377	69170	1777
2	1.3	5	0.125	2	31	79.106096	10527	101180	2166
2	1.2	5	0.125	2	33	93.526819	13192	129120	2397
2	1.1	5	0.125	2	35	108.51423	17342	165560	2705
2	1	5	0.125	2	37	124.10949	20943	208490	3066
2	0.9	5	0.125	2	40	140.28918	26449	265440	3458
2	0.8	5	0.125	2	42	156.98987	32893	332630	3878
2	0.7	5	0.125	2	45	174.29734	42012	430120	4453
2	0.6	5	0.125	2	48	192.22163	53656	554300	5096
2	0.5	5	0.125	2	51	210.77128	67805	705680	5806
2	0.4	5	0.125	2	55	230.0773	91304	960880	6881
2	0.3	5	0.125	2	59	250.1912	121415	1292800	8002
2	0.2	5	0.125	2	65	271.35524	174969	1882260	9726
2	1.8	2.5	0.0625	2	12	13.880129	736	7170	483
2	1.7	2.5	0.0625	2	15	24.022982	1414	11790	695
2	1.6	2.5	0.0625	2	18	35.237315	2446	23590	931
2	1.5	2.5	0.0625	2	21	47.32669	3932	39570	1211
2	1.4	2.5	0.0625	2	24	60.207364	5969	58230	1486
2	1.3	2.5	0.0625	2	26	73.599881	8160	81160	1750
2	1.2	2.5	0.0625	2	29	87.871107	11479	113740	2069
2	1.1	2.5	0.0625	2	32	102.75858	16198	164010	2487
2	1	2.5	0.0625	2	35	118.24829	22278	226650	2953
2	0.9	2.5	0.0625	2	38	134.33705	29166	299840	3353
2	0.8	2.5	0.0625	2	41	151.05146	38667	400830	3909
2	0.7	2.5	0.0625	2	45	168.45517	53795	554610	4670
2	0.6	2.5	0.0625	2	49	186.54158	71977	751270	5495
2	0.5	2.5	0.0625	2	53	205.37271	94633	1004380	6432
2	0.4	2.5	0.0625	2	59	225.11855	137031	1439860	7852
2	0.3	2.5	0.0625	2	66	245.86579	197170	2123620	9727
2	0.2	2.5	0.0625	2	75	267.88401	307530	3342620	12466
2	1.8	100	2	2	39	28.753947	13340	109530	2053
2	1.7	100	2	2	41	44.986186	15894	137930	2320
2	1.6	100	2	2	43	61.915568	18038	156270	2431
2	1.5	100	2	2	44	79.410132	19512	170900	2489
2	1.4	100	2	2	45	97.412648	21987	193230	2651
2	1.3	100	2	2	46	115.86914	23128	205990	2703
2	1.2	100	2	2	47	134.76548	25364	225800	2828
2	1.1	100	2	2	49	154.12072	29338	258170	3013
2	1	100	2	2	50	173.85441	30052	271040	3078
2	0.9	100	2	2	51	193.99035	31866	289570	3144
2	0.8	100	2	2	52	214.54482	34188	310470	3214
2	0.7	100	2	2	53	235.51817	37459	344750	3397
2	0.6	100	2	2	54	256.9329	41355	375830	3489
2	0.5	100	2	2	56	278.846	45469	420500	3724
2	0.4	100	2	2	57	301.27974	50361	476880	3954
2	0.3	100	2	2	59	324.32611	60557	550160	4222
2	0.2	100	2	2	61	348.11626	67568	647570	4550
2	1.8	50	1	2	38	27.699009	11461	96740	2176
2	1.7	50	1	2	40	43.581282	13980	120740	2414
2	1.6	50	1	2	41	60.212177	15974	137380	2574
2	1.5	50	1	2	43	77.547515	18419	165010	2759
2	1.4	50	1	2	44	95.393005	20748	187830	2947
2	1.3	50	1	2	46	113.82392	24199	221220	3204
2	1.2	50	1	2	47	132.65231	27679	246810	3388
2	1.1	50	1	2	48	151.94914	28970	267710	3477
2	1	50	1	2	50	171.73354	32434	303820	3693
2	0.9	50	1	2	51	191.90149	35046	328420	3839
2	0.8	50	1	2	52	212.51481	37742	354050	3946
2	0.7	50	1	2	53	233.5675	42372	403700	4195
2	0.6	50	1	2	55	255.14693	47878	458530	4454
2	0.5	50	1	2	56	277.19241	57115	524080	4731
2	0.4	50	1	2	58	299.83534	63291	617510	5162
2	0.3	50	1	2	60	323.11395	74239	734040	5638
2	0.2	50	1	2	63	347.19926	91668	910310	6260
2	1.8	25	0.5	2	35	26.328646	8864	74750	2040
2	1.7	25	0.5	2	37	41.695088	11286	98050	2328
2	1.6	25	0.5	2	40	58.008976	14519	127470	2634
2	1.5	25	0.5	2	41	74.952304	16748	149610	2822
2	1.4	25	0.5	2	43	92.622772	19923	182780	3134
2	1.3	25	0.5	2	45	110.87977	23219	216280	3401
2	1.2	25	0.5	2	46	129.61176	26256	246210	3606
2	1.1	25	0.5	2	48	148.9274	30303	284360	3841
2	1	25	0.5	2	49	168.65942	33796	323650	4111
2	0.9	25	0.5	2	51	188.97125	38967	374130	4396
2	0.8	25	0.5	2	52	209.65269	45249	428490	4659
2	0.7	25	0.5	2	54	230.90149	49944	488380	5007
2	0.6	25	0.5	2	56	252.65959	61079	584460	5465
2	0.5	25	0.5	2	58	274.95177	68550	686700	5954
2	0.4	25	0.5	2	60	297.84713	80103	809580	6463
2	0.3	25	0.5	2	63	321.46019	98710	1009510	7211
2	0.2	25	0.5	2	66	345.9326	125783	1291060	8147
2	1.8	12.5	0.25	2	31	24.7849	6377	54150	1724
2	1.7	12.5	0.25	2	34	39.555723	8990	79920	2094
2	1.6	12.5	0.25	2	36	55.25985	11531	102820	2384
2	1.5	12.5	0.25	2	39	71.861073	15150	136830	2719
2	1.4	12.5	0.25	2	41	89.160265	18550	171220	3063
2	1.3	12.5	0.25	2	43	107.13713	22631	211850	3409
2	1.2	12.5	0.25	2	45	125.68672	27229	259180	3766
2	1.1	12.5	0.25	2	47	144.87439	31845	305820	4043
2	1	12.5	0.25	2	49	164.63994	38010	369520	4448
2	0.9	12.5	0.25	2	50	184.82046	41829	410350	4639
2	0.8	12.5	0.25	2	53	205.78399	53425	520960	5247
2	0.7	12.5	0.25	2	55	227.1725	61147	612860	5753
