r	c	alpha	beta	M	Q_B4	Pi_B4	Time_B4
2	1	25	0.5	4	50	169.42663	37292614
2	0.9	25	0.5	4	51	189.55643	26647889
2	0.8	25	0.5	4	53	210.16891	48376726
2	0.7	25	0.5	4	54	231.28033	39352317
2	0.6	25	0.5	4	56	252.92463	42763912
2	0.5	25	0.5	4	58	275.13258	53657338
2	0.4	25	0.5	4	60	297.96464	82358334
2	0.3	25	0.5	4	63	321.52132	118303954
2	0.2	25	0.5	4	66	345.96007	164059029
2	1.8	12.5	0.25	4	32	25.604269	17758943
2	1.7	12.5	0.25	4	35	40.741834	23496679
2	1.6	12.5	0.25	4	37	56.739753	45264039
2	1.5	12.5	0.25	4	40	73.468881	46807638
2	1.4	12.5	0.25	4	42	90.83845	56046812
2	1.3	12.5	0.25	4	44	108.79739	71171550
2	1.2	12.5	0.25	4	46	127.31746	85629972
2	1.1	12.5	0.25	4	48	146.37638	115156634
2	1	12.5	0.25	4	49	165.96634	73244716
2	0.9	12.5	0.25	4	51	186.08893	125005560
2	0.8	12.5	0.25	4	53	206.74989	101087597
2	0.7	12.5	0.25	4	55	227.96505	131001997
2	0.6	12.5	0.25	4	58	249.77153	227869186
2	0.5	12.5	0.25	4	60	272.20267	232680031
2	0.4	12.5	0.25	4	63	295.33725	242298963
2	0.3	12.5	0.25	4	67	319.28119	502616217
2	0.2	12.5	0.25	4	71	344.22259	426989521
2	1.8	6.25	0.125	4	27	23.776977	30496096
2	1.7	6.25	0.125	4	31	38.280173	49261145
2	1.6	6.25	0.125	4	34	53.755559	61895105
2	1.5	6.25	0.125	4	37	70.033984	81680425
2	1.4	6.25	0.125	4	39	87.037627	88723129
2	1.3	6.25	0.125	4	41	104.69027	80639936
2	1.2	6.25	0.125	4	44	122.97758	129464137
2	1.1	6.25	0.125	4	46	141.86076	120640953
2	1	6.25	0.125	4	49	161.33647	201646677
2	0.9	6.25	0.125	4	51	181.4111	191150352
2	0.8	6.25	0.125	4	54	202.09764	206179500
2	0.7	6.25	0.125	4	57	223.41287	259142761
2	0.6	6.25	0.125	4	60	245.3971	274771688
2	0.5	6.25	0.125	4	63	268.10588	425346164
2	0.4	6.25	0.125	4	67	291.62415	474793165
2	0.3	6.25	0.125	4	72	316.08261	715309390
2	0.2	6.25	0.125	4	79	341.70856	1269998876
2	1.8	3.125	0.0625	4	21	21.619737	44849635
2	1.7	3.125	0.0625	4	25	35.300501	82263343
2	1.6	3.125	0.0625	4	28	50.032837	123785871
2	1.5	3.125	0.0625	4	32	65.66829	163206214
2	1.4	3.125	0.0625	4	35	82.11488	238777939
2	1.3	3.125	0.0625	4	38	99.310035	266577297
2	1.2	3.125	0.0625	4	41	117.21682	266506833
2	1.1	3.125	0.0625	4	44	135.81174	327425470
2	1	3.125	0.0625	4	47	155.08504	356782224
2	0.9	3.125	0.0625	4	51	175.04356	559907427
2	0.8	3.125	0.0625	4	54	195.70751	621384004
2	0.7	3.125	0.0625	4	58	217.10221	973952558
2	0.6	3.125	0.0625	4	62	239.27622	1099030889
2	0.5	3.125	0.0625	4	67	262.30259	835357691
2	0.4	3.125	0.0625	4	73	286.29418	1193
2	0.3	3.125	0.0625	4	80	311.41762	1306
2	0.2	3.125	0.0625	4	90	337.96922	1770
