r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	0.6	5	0.25	24	92.9739392	216324	2589190	829756
2	0.5	5	0.25	26	102.4030689	240465	2880140	899460
2	0.4	5	0.25	28	112.2828198	273760	3278160	986299
2	0.3	5	0.25	30	122.6930802	314683	3769650	1096451
2	0.2	5	0.25	33	133.7715062	373805	4470780	1231915
2	1.8	2.5	0.125	6	6.602377203	59748	715980	284058
2	1.7	2.5	0.125	7	11.26711722	82017	980150	379851
2	1.6	2.5	0.125	9	16.60653168	115950	1388560	526377
2	1.5	2.5	0.125	10	22.28119473	139965	1677480	607380
2	1.4	2.5	0.125	12	28.46435713	180757	2166260	754671
2	1.3	2.5	0.125	13	34.92796748	215539	2582380	848826
2	1.2	2.5	0.125	14	41.74024119	248086	2973120	937102
2	1.1	2.5	0.125	16	48.98881402	302679	3624620	1081480
2	1	2.5	0.125	17	56.50291702	338417	4055860	1173049
2	0.9	2.5	0.125	19	64.43455013	402059	4818540	1321071
2	0.8	2.5	0.125	21	72.71454663	468756	5618140	1470343
2	0.7	2.5	0.125	22	81.33471177	525728	6300850	1574220
2	0.6	2.5	0.125	25	90.44101895	646138	7744060	1789864
2	0.5	2.5	0.125	27	99.9662686	741862	8889950	1950096
2	0.4	2.5	0.125	30	110.0175773	895540	10730560	2186948
2	0.3	2.5	0.125	33	120.6802917	1056799	12665220	2424437
2	0.2	2.5	0.125	38	132.1370474	1362368	16325370	2798096
2	1.8	1.25	0.0625	3	5.552244141	46043	551940	270473
2	1.7	1.25	0.0625	4	9.886481135	81859	981190	433691
2	1.6	1.25	0.0625	5	14.78096341	121135	1451780	595354
2	1.5	1.25	0.0625	7	20.41017333	211805	2538300	859009
2	1.4	1.25	0.0625	8	26.19776001	275449	3299620	1016816
2	1.3	1.25	0.0625	10	32.55129064	399851	4791900	1296942
2	1.2	1.25	0.0625	11	39.09105247	490045	5871830	1449117
2	1.1	1.25	0.0625	13	46.14849856	652253	7810860	1732464
2	1	1.25	0.0625	15	53.54195384	840418	10071860	1999719
2	0.9	1.25	0.0625	17	61.30090153	1043539	12506490	2254004
2	0.8	1.25	0.0625	19	69.44256752	1301975	15601730	2542918
2	0.7	1.25	0.0625	22	78.06064446	1695644	20322090	2916194
2	0.6	1.25	0.0625	24	87.08312366	2006757	24048240	3197001
2	0.5	1.25	0.0625	28	96.69983365	2683382	32155890	3698112
2	0.4	1.25	0.0625	32	106.8985561	3511540	42085700	4185548
2	0.3	1.25	0.0625	37	117.8389083	4665517	55904550	4808856
2	0.2	1.25	0.0625	44	129.7466004	6655662	79756890	5652428
2	1.8	60	2	22	15.61549265	22338	267610	126377
2	1.7	60	2	23	24.75049897	25129	297090	134360
2	1.6	60	2	24	34.38121297	26040	310410	140604
2	1.5	60	2	25	44.43713217	27426	326810	148630
2	1.4	60	2	26	54.87272205	28310	336970	156243
2	1.3	60	2	27	65.65669214	30184	358370	160818
2	1.2	60	2	28	76.76915666	29226	348620	168171
2	1.1	60	2	29	88.19726916	31096	370640	172809
2	1	60	2	30	99.93534553	31551	376330	179493
2	0.9	60	2	31	111.9855467	34862	415450	185610
2	0.8	60	2	31	124.3651391	33618	401180	187780
2	0.7	60	2	32	137.0787037	33687	401410	194984
2	0.6	60	2	33	150.1403128	36475	435530	203565
2	0.5	60	2	34	163.5762549	36577	436590	207381
2	0.4	60	2	36	177.4295776	36878	439100	221109
2	0.3	60	2	37	191.7756411	43918	522170	228289
2	0.2	60	2	39	206.7057248	42422	506750	242132
2	1.8	30	1	20	15.03839313	37255	441660	175254
2	1.7	30	1	22	23.98568355	42687	508070	189302
2	1.6	30	1	23	33.44493956	41934	500470	203108
2	1.5	30	1	25	43.37608845	46177	551320	221267
2	1.4	30	1	26	53.69680177	45812	542770	232506
2	1.3	30	1	27	64.38697291	48249	576450	241603
2	1.2	30	1	28	75.42654502	51577	614070	254734
2	1.1	30	1	29	86.80462458	51356	611290	264562
2	1	30	1	30	98.51902308	54609	650990	272254
2	0.9	30	1	30	110.5564687	55924	666320	280650
2	0.8	30	1	31	122.9532543	55551	663840	290344
2	0.7	30	1	33	135.7139342	58849	702070	309491
2	0.6	30	1	34	148.840986	60890	725450	320436
2	0.5	30	1	35	162.3716914	64924	774320	333340
2	0.4	30	1	36	176.3451454	66261	790280	347016
2	0.3	30	1	38	190.8485515	69605	830510	370907
2	0.2	30	1	40	205.9863744	75969	905260	395484
2	1.8	15	0.5	19	14.30981666	52931	630900	265167
2	1.7	15	0.5	20	22.96873868	57395	686380	290781
2	1.6	15	0.5	22	32.23928733	63180	753200	325974
2	1.5	15	0.5	23	41.96466222	69055	823740	346536
2	1.4	15	0.5	24	52.11771191	74085	882620	368556
2	1.3	15	0.5	26	62.71727296	80742	963620	402861
2	1.2	15	0.5	27	73.66172303	88869	1059570	423130
2	1.1	15	0.5	28	84.97172533	91181	1088630	446975
2	1	15	0.5	29	96.64252538	98208	1172280	467158
2	0.9	15	0.5	30	108.6743563	103000	1229300	489772
2	0.8	15	0.5	32	121.1001829	111836	1334920	524012
2	0.7	15	0.5	33	133.8970007	123082	1467920	551763
2	0.6	15	0.5	34	147.0931643	128112	1524930	573284
2	0.5	15	0.5	36	160.7471449	137460	1640780	612306
2	0.4	15	0.5	38	174.8836064	150790	1800450	651717
2	0.3	15	0.5	40	189.5933705	163344	1948330	699350
2	0.2	15	0.5	43	205.0058427	181808	2167090	760289
2	1.8	7.5	0.25	16	13.37247644	89175	1063350	417429
2	1.7	7.5	0.25	18	21.71634088	107950	1288530	499105
2	1.6	7.5	0.25	20	30.69299075	125604	1499740	571020
2	1.5	7.5	0.25	21	40.16567071	141498	1686810	619030
2	1.4	7.5	0.25	23	50.15229254	162669	1940750	695701
2	1.3	7.5	0.25	24	60.53224106	176370	2103190	741238
2	1.2	7.5	0.25	26	71.36593429	191074	2281640	807664
2	1.1	7.5	0.25	27	82.56668704	211178	2518520	849182
2	1	7.5	0.25	29	94.18864982	232033	2771320	914238
2	0.9	7.5	0.25	30	106.188941	251903	3007160	960202
2	0.8	7.5	0.25	32	118.6147532	276553	3299690	1053761
2	0.7	7.5	0.25	33	131.444295	300094	3582490	1106511
2	0.6	7.5	0.25	35	144.7487823	334824	3997890	1187162
2	0.5	7.5	0.25	37	158.5372912	364305	4346200	1270091
2	0.4	7.5	0.25	40	172.8817348	407043	4859880	1388622
2	0.3	7.5	0.25	43	187.862027	466898	5572290	1517376
2	0.2	7.5	0.25	46	203.6404748	527085	6292660	1658349
2	1.8	3.75	0.125	12	12.2208428	136156	1624650	639142
2	1.7	3.75	0.125	14	20.1294264	186363	2225050	801832
2	1.6	3.75	0.125	16	28.73344577	235960	2817170	953093
2	1.5	3.75	0.125	18	37.91932213	293571	3506610	1098181
2	1.4	3.75	0.125	20	47.62074838	350581	4186530	1241485
2	1.3	3.75	0.125	22	57.79315403	411948	4921030	1391718
2	1.2	3.75	0.125	23	68.35438641	459161	5479440	1486856
2	1.1	3.75	0.125	25	79.42602637	536380	6402120	1632050
2	1	3.75	0.125	27	90.9299904	610374	7288080	1773318
2	0.9	3.75	0.125	29	102.8717926	698193	8338620	1930516
2	0.8	3.75	0.125	31	115.264075	788107	9410800	2083414
2	0.7	3.75	0.125	34	128.1609797	932468	11129950	2287295
2	0.6	3.75	0.125	36	141.5383766	1057558	12624530	2446675
2	0.5	3.75	0.125	39	155.4933355	1192876	14244000	2654971
2	0.4	3.75	0.125	42	170.0697951	1377554	16445290	2874154
2	0.3	3.75	0.125	47	185.4035574	1718955	20525470	3234789
2	0.2	3.75	0.125	52	201.6701667	2093007	24990040	3601747
2	1.8	1.875	0.0625	7	10.81606163	154129	1839010	726620
2	1.7	1.875	0.0625	9	18.22765614	250385	2990810	1004117
2	1.6	1.875	0.0625	11	26.38626462	376018	4490060	1272701
2	1.5	1.875	0.0625	13	35.16318029	515307	6153600	1542243
2	1.4	1.875	0.0625	16	44.61404601	746841	8918690	1907737
2	1.3	1.875	0.0625	18	54.43546939	945429	11290060	2166151
2	1.2	1.875	0.0625	20	64.74346623	1159435	13842120	2425187
2	1.1	1.875	0.0625	22	75.52367567	1406259	16789720	2695881
2	1	1.875	0.0625	25	86.85534916	1798502	21475620	3061858
2	0.9	1.875	0.0625	27	98.59806996	2062157	24625850	3308182
2	0.8	1.875	0.0625	30	110.9130944	2549496	30441940	3672698
2	0.7	1.875	0.0625	33	123.7459929	3114612	37194330	4038879
2	0.6	1.875	0.0625	37	137.1964488	3911839	46701460	4508403
