NVLearning-Simulation.byPeriod.l50.b1.c0.9.txtn	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
80	6.6498691	6.6360953	6.6321598	6.6257924	0.01142451183	0.01141940643	0.01141733315	0.01138519163	9.459359	9.453877	9.442762	9.381736	0.01217457323	0.01215382347	0.01216596714	0.01221189108
81	6.6536251	6.6392422	6.6357276	6.6287515	0.01141107029	0.01140476205	0.01140222271	0.011368689	9.459359	9.453398	9.442744	9.378855	0.01217457323	0.01215441668	0.01216692229	0.01221394043
82	6.6556491	6.640532	6.6366683	6.6292443	0.01141058806	0.01140239093	0.01140045275	0.01136593069	9.459359	9.45324	9.442867	9.376347	0.01217457323	0.0121548129	0.01216618502	0.01221534629
83	6.6516171	6.6383926	6.6343899	6.6271351	0.01141636192	0.01140872182	0.01140627325	0.01137047545	9.459359	9.455094	9.442851	9.373259	0.01217457323	0.01215182801	0.01216624883	0.01221680964
84	6.6622011	6.64951	6.6459791	6.6377921	0.01142169846	0.01141775602	0.01141380921	0.01137540395	9.459359	9.45524	9.443099	9.370529	0.01217457323	0.0121536259	0.01216639886	0.0122181706
85	6.6530951	6.6394588	6.63556	6.6287809	0.01141447993	0.01140923738	0.01140550831	0.01136473235	9.459359	9.455072	9.44304	9.367601	0.01217457323	0.0121539415	0.0121669431	0.01222011091
86	6.6531671	6.6399167	6.6367212	6.6287386	0.01142541953	0.01141917077	0.01141719581	0.01137478985	9.459359	9.454563	9.443348	9.364394	0.01217457323	0.01215384035	0.01216743359	0.01222195745
87	6.6560071	6.6421942	6.6387031	6.6309623	0.01142177262	0.01141471163	0.01141214999	0.01136754121	9.459359	9.453098	9.443379	9.361247	0.01217457323	0.01215431079	0.01216786795	0.0122238254
88	6.6542531	6.6404788	6.6368259	6.6288402	0.01141972026	0.01141201333	0.01141061549	0.01136508874	9.459359	9.452772	9.443631	9.357698	0.01217457323	0.01215591115	0.0121679681	0.01222503977
89	6.6515711	6.6376	6.6344626	6.6261866	0.01142380905	0.01141632532	0.01141559379	0.01136830591	9.459359	9.4529	9.443694	9.354314	0.01217457323	0.01215636686	0.01216804342	0.01222653286
90	6.6552511	6.6423262	6.638732	6.6303721	0.01141902999	0.01141098301	0.01140996406	0.01135968863	9.459359	9.452638	9.44392	9.350529	0.01217457323	0.01215689227	0.01216818697	0.01222780639
91	6.6559491	6.6433688	6.6393676	6.630734	0.01142338191	0.011416946	0.01141634521	0.01136392456	9.459359	9.453272	9.444064	9.3468	0.01217457323	0.01215628611	0.01216874768	0.012228663
92	6.6546411	6.6420597	6.6382815	6.6299266	0.01141664698	0.01140984771	0.01140790904	0.01135449933	9.459359	9.453793	9.444095	9.342914	0.01217457323	0.01215610098	0.01216915136	0.01223059897
93	6.6530211	6.6409898	6.6378695	6.6283008	0.01142463357	0.01141983444	0.01141670759	0.0113599717	9.459359	9.454442	9.444295	9.339032	0.01217457323	0.01215536108	0.01216924012	0.01223203766
94	6.6548471	6.6424327	6.6394234	6.6305892	0.01141332463	0.01140753746	0.01140549503	0.0113466224	9.459359	9.453603	9.444426	9.334868	0.01217457323	0.01215733379	0.0121697011	0.01223361102
95	6.6524571	6.6407191	6.6375331	6.6281023	0.01141457318	0.011408091	0.01140637125	0.01134518874	9.459359	9.454419	9.444459	9.331147	0.01217457323	0.01215660716	0.01217046873	0.01223484683
96	6.6544751	6.6420184	6.638577	6.6297493	0.01141791146	0.01141369282	0.01141055606	0.01134704743	9.459359	9.454696	9.44435	9.327077	0.01217457323	0.01215743747	0.01217016757	0.01223571764
97	6.6582111	6.6463292	6.6427157	6.6330718	0.01142565196	0.01142278518	0.01142025767	0.01135436174	9.459359	9.455308	9.444213	9.322642	0.01217457323	0.0121563784	0.01217034793	0.01223642287
98	6.6544431	6.6427141	6.6393731	6.6294864	0.01141853777	0.011414538	0.01141206647	0.01134329971	9.459359	9.454869	9.444499	9.318496	0.01217457323	0.01215740992	0.01217026268	0.01223775019
99	6.6530291	6.6406865	6.6379426	6.6282651	0.01141495672	0.0114085222	0.01140732231	0.01133530742	9.459359	9.454465	9.444634	9.314199	0.01217457323	0.0121566982	0.01217107498	0.01223806939
100	6.6527291	6.6410907	6.6376173	6.6274213	0.01142256845	0.01141800472	0.01141611724	0.01134133196	9.459359	9.454883	9.444457	9.309637	0.01217457323	0.01215555323	0.01217152702	0.01223947528
